date,day,suffix,dow_name,dow_num,doy,weekend,woy,fow,low,wom,month,moy_name,fom,lom,gov_quarter,year,cy,fy,leap_year,53_weeks,disp_date,disp_mm_yyyy,disp_mm_dd_yyyy,disp_date_suffix,ppid,pp,ppy,ppn,ppw,ppd,pp_start,pp_end,pay_day,school_open,school_day,school_ab_day
2048-06-01,1,st,Monday,1,153,0,23,2048-06-01,2048-06-07,1,6,June,2048-06-01,2048-06-30,2,2048,2048,2047,1,0,2048-06-01,06/2048,06/01/2048,20480601,661,48-11,48,11,2,13,2048-05-20,2048-06-02,0,0,1,B
2048-06-02,2,nd,Tuesday,2,154,0,23,2048-06-01,2048-06-07,1,6,June,2048-06-01,2048-06-30,2,2048,2048,2047,1,0,2048-06-02,06/2048,06/02/2048,20480602,661,48-11,48,11,2,14,2048-05-20,2048-06-02,0,0,1,A
2048-06-03,3,rd,Wednesday,3,155,0,23,2048-06-01,2048-06-07,1,6,June,2048-06-01,2048-06-30,2,2048,2048,2047,1,0,2048-06-03,06/2048,06/03/2048,20480603,662,48-12,48,12,1,1,2048-06-03,2048-06-16,0,0,1,B
2048-06-04,4,th,Thursday,4,156,0,23,2048-06-01,2048-06-07,1,6,June,2048-06-01,2048-06-30,2,2048,2048,2047,1,0,2048-06-04,06/2048,06/04/2048,20480604,662,48-12,48,12,1,2,2048-06-03,2048-06-16,0,0,1,A
2048-06-05,5,th,Friday,5,157,0,23,2048-06-01,2048-06-07,1,6,June,2048-06-01,2048-06-30,2,2048,2048,2047,1,0,2048-06-05,06/2048,06/05/2048,20480605,662,48-12,48,12,1,3,2048-06-03,2048-06-16,0,0,1,B
2048-06-06,6,th,Saturday,6,158,1,23,2048-06-01,2048-06-07,1,6,June,2048-06-01,2048-06-30,2,2048,2048,2047,1,0,2048-06-06,06/2048,06/06/2048,20480606,662,48-12,48,12,1,4,2048-06-03,2048-06-16,0,0,0,
2048-06-07,7,th,Sunday,7,159,1,23,2048-06-01,2048-06-07,1,6,June,2048-06-01,2048-06-30,2,2048,2048,2047,1,0,2048-06-07,06/2048,06/07/2048,20480607,662,48-12,48,12,1,5,2048-06-03,2048-06-16,0,0,0,
2048-06-08,8,th,Monday,1,160,0,24,2048-06-08,2048-06-14,2,6,June,2048-06-01,2048-06-30,2,2048,2048,2047,1,0,2048-06-08,06/2048,06/08/2048,20480608,662,48-12,48,12,1,6,2048-06-03,2048-06-16,0,0,1,A
2048-06-09,9,th,Tuesday,2,161,0,24,2048-06-08,2048-06-14,2,6,June,2048-06-01,2048-06-30,2,2048,2048,2047,1,0,2048-06-09,06/2048,06/09/2048,20480609,662,48-12,48,12,1,7,2048-06-03,2048-06-16,0,0,1,B
2048-06-10,10,th,Wednesday,3,162,0,24,2048-06-08,2048-06-14,2,6,June,2048-06-01,2048-06-30,2,2048,2048,2047,1,0,2048-06-10,06/2048,06/10/2048,20480610,662,48-12,48,12,2,8,2048-06-03,2048-06-16,0,0,1,A
2048-06-11,11,th,Thursday,4,163,0,24,2048-06-08,2048-06-14,2,6,June,2048-06-01,2048-06-30,2,2048,2048,2047,1,0,2048-06-11,06/2048,06/11/2048,20480611,662,48-12,48,12,2,9,2048-06-03,2048-06-16,0,0,1,B
2048-06-12,12,th,Friday,5,164,0,24,2048-06-08,2048-06-14,2,6,June,2048-06-01,2048-06-30,2,2048,2048,2047,1,0,2048-06-12,06/2048,06/12/2048,20480612,662,48-12,48,12,2,10,2048-06-03,2048-06-16,0,0,1,A
2048-06-13,13,th,Saturday,6,165,1,24,2048-06-08,2048-06-14,2,6,June,2048-06-01,2048-06-30,2,2048,2048,2047,1,0,2048-06-13,06/2048,06/13/2048,20480613,662,48-12,48,12,2,11,2048-06-03,2048-06-16,0,0,0,
2048-06-14,14,th,Sunday,7,166,1,24,2048-06-08,2048-06-14,2,6,June,2048-06-01,2048-06-30,2,2048,2048,2047,1,0,2048-06-14,06/2048,06/14/2048,20480614,662,48-12,48,12,2,12,2048-06-03,2048-06-16,0,0,0,
2048-06-15,15,th,Monday,1,167,0,25,2048-06-15,2048-06-21,3,6,June,2048-06-01,2048-06-30,2,2048,2048,2047,1,0,2048-06-15,06/2048,06/15/2048,20480615,662,48-12,48,12,2,13,2048-06-03,2048-06-16,0,0,1,B
2048-06-16,16,th,Tuesday,2,168,0,25,2048-06-15,2048-06-21,3,6,June,2048-06-01,2048-06-30,2,2048,2048,2047,1,0,2048-06-16,06/2048,06/16/2048,20480616,662,48-12,48,12,2,14,2048-06-03,2048-06-16,0,0,1,A
2048-06-17,17,th,Wednesday,3,169,0,25,2048-06-15,2048-06-21,3,6,June,2048-06-01,2048-06-30,2,2048,2048,2047,1,0,2048-06-17,06/2048,06/17/2048,20480617,663,48-13,48,13,1,1,2048-06-17,2048-06-30,0,0,1,B
2048-06-18,18,th,Thursday,4,170,0,25,2048-06-15,2048-06-21,3,6,June,2048-06-01,2048-06-30,2,2048,2048,2047,1,0,2048-06-18,06/2048,06/18/2048,20480618,663,48-13,48,13,1,2,2048-06-17,2048-06-30,0,0,1,A
2048-06-19,19,th,Friday,5,171,0,25,2048-06-15,2048-06-21,3,6,June,2048-06-01,2048-06-30,2,2048,2048,2047,1,0,2048-06-19,06/2048,06/19/2048,20480619,663,48-13,48,13,1,3,2048-06-17,2048-06-30,0,0,1,B
2048-06-20,20,th,Saturday,6,172,1,25,2048-06-15,2048-06-21,3,6,June,2048-06-01,2048-06-30,2,2048,2048,2047,1,0,2048-06-20,06/2048,06/20/2048,20480620,663,48-13,48,13,1,4,2048-06-17,2048-06-30,0,0,0,
2048-06-21,21,st,Sunday,7,173,1,25,2048-06-15,2048-06-21,3,6,June,2048-06-01,2048-06-30,2,2048,2048,2047,1,0,2048-06-21,06/2048,06/21/2048,20480621,663,48-13,48,13,1,5,2048-06-17,2048-06-30,0,0,0,
2048-06-22,22,nd,Monday,1,174,0,26,2048-06-22,2048-06-28,4,6,June,2048-06-01,2048-06-30,2,2048,2048,2047,1,0,2048-06-22,06/2048,06/22/2048,20480622,663,48-13,48,13,1,6,2048-06-17,2048-06-30,0,0,1,A
2048-06-23,23,rd,Tuesday,2,175,0,26,2048-06-22,2048-06-28,4,6,June,2048-06-01,2048-06-30,2,2048,2048,2047,1,0,2048-06-23,06/2048,06/23/2048,20480623,663,48-13,48,13,1,7,2048-06-17,2048-06-30,0,0,1,B
2048-06-24,24,th,Wednesday,3,176,0,26,2048-06-22,2048-06-28,4,6,June,2048-06-01,2048-06-30,2,2048,2048,2047,1,0,2048-06-24,06/2048,06/24/2048,20480624,663,48-13,48,13,2,8,2048-06-17,2048-06-30,0,0,1,A
2048-06-25,25,th,Thursday,4,177,0,26,2048-06-22,2048-06-28,4,6,June,2048-06-01,2048-06-30,2,2048,2048,2047,1,0,2048-06-25,06/2048,06/25/2048,20480625,663,48-13,48,13,2,9,2048-06-17,2048-06-30,0,0,1,B
2048-06-26,26,th,Friday,5,178,0,26,2048-06-22,2048-06-28,4,6,June,2048-06-01,2048-06-30,2,2048,2048,2047,1,0,2048-06-26,06/2048,06/26/2048,20480626,663,48-13,48,13,2,10,2048-06-17,2048-06-30,0,0,1,A
2048-06-27,27,th,Saturday,6,179,1,26,2048-06-22,2048-06-28,4,6,June,2048-06-01,2048-06-30,2,2048,2048,2047,1,0,2048-06-27,06/2048,06/27/2048,20480627,663,48-13,48,13,2,11,2048-06-17,2048-06-30,0,0,0,
2048-06-28,28,th,Sunday,7,180,1,26,2048-06-22,2048-06-28,4,6,June,2048-06-01,2048-06-30,2,2048,2048,2047,1,0,2048-06-28,06/2048,06/28/2048,20480628,663,48-13,48,13,2,12,2048-06-17,2048-06-30,0,0,0,
2048-06-29,29,th,Monday,1,181,0,27,2048-06-29,2048-07-05,5,6,June,2048-06-01,2048-06-30,2,2048,2048,2047,1,0,2048-06-29,06/2048,06/29/2048,20480629,663,48-13,48,13,2,13,2048-06-17,2048-06-30,0,0,1,B
2048-06-30,30,th,Tuesday,2,182,0,27,2048-06-29,2048-07-05,5,6,June,2048-06-01,2048-06-30,2,2048,2048,2047,1,0,2048-06-30,06/2048,06/30/2048,20480630,663,48-13,48,13,2,14,2048-06-17,2048-06-30,0,0,1,A
