date,day,suffix,dow_name,dow_num,doy,weekend,woy,fow,low,wom,month,moy_name,fom,lom,gov_quarter,year,cy,fy,leap_year,53_weeks,disp_date,disp_mm_yyyy,disp_mm_dd_yyyy,disp_date_suffix,ppid,pp,ppy,ppn,ppw,ppd,pp_start,pp_end,pay_day,school_open,school_day,school_ab_day
2026-08-01,1,st,Saturday,6,213,1,31,2026-07-27,2026-08-02,1,8,August,2026-08-01,2026-08-31,3,2026,2026,2025,0,0,2026-08-01,08/2026,08/01/2026,20260801,94,26-16,26,16,1,3,2026-07-30,2026-08-12,0,0,0,
2026-08-02,2,nd,Sunday,7,214,1,31,2026-07-27,2026-08-02,1,8,August,2026-08-01,2026-08-31,3,2026,2026,2025,0,0,2026-08-02,08/2026,08/02/2026,20260802,94,26-16,26,16,1,4,2026-07-30,2026-08-12,0,0,0,
2026-08-03,3,rd,Monday,1,215,0,32,2026-08-03,2026-08-09,1,8,August,2026-08-01,2026-08-31,3,2026,2026,2025,0,0,2026-08-03,08/2026,08/03/2026,20260803,94,26-16,26,16,1,5,2026-07-30,2026-08-12,0,0,1,A
2026-08-04,4,th,Tuesday,2,216,0,32,2026-08-03,2026-08-09,1,8,August,2026-08-01,2026-08-31,3,2026,2026,2025,0,0,2026-08-04,08/2026,08/04/2026,20260804,94,26-16,26,16,1,6,2026-07-30,2026-08-12,0,0,1,B
2026-08-05,5,th,Wednesday,3,217,0,32,2026-08-03,2026-08-09,1,8,August,2026-08-01,2026-08-31,3,2026,2026,2025,0,0,2026-08-05,08/2026,08/05/2026,20260805,94,26-16,26,16,1,7,2026-07-30,2026-08-12,0,0,1,A
2026-08-06,6,th,Thursday,4,218,0,32,2026-08-03,2026-08-09,1,8,August,2026-08-01,2026-08-31,3,2026,2026,2025,0,0,2026-08-06,08/2026,08/06/2026,20260806,94,26-16,26,16,2,8,2026-07-30,2026-08-12,0,0,1,B
2026-08-07,7,th,Friday,5,219,0,32,2026-08-03,2026-08-09,1,8,August,2026-08-01,2026-08-31,3,2026,2026,2025,0,0,2026-08-07,08/2026,08/07/2026,20260807,94,26-16,26,16,2,9,2026-07-30,2026-08-12,0,0,1,A
2026-08-08,8,th,Saturday,6,220,1,32,2026-08-03,2026-08-09,2,8,August,2026-08-01,2026-08-31,3,2026,2026,2025,0,0,2026-08-08,08/2026,08/08/2026,20260808,94,26-16,26,16,2,10,2026-07-30,2026-08-12,0,0,0,
2026-08-09,9,th,Sunday,7,221,1,32,2026-08-03,2026-08-09,2,8,August,2026-08-01,2026-08-31,3,2026,2026,2025,0,0,2026-08-09,08/2026,08/09/2026,20260809,94,26-16,26,16,2,11,2026-07-30,2026-08-12,0,0,0,
2026-08-10,10,th,Monday,1,222,0,33,2026-08-10,2026-08-16,2,8,August,2026-08-01,2026-08-31,3,2026,2026,2025,0,0,2026-08-10,08/2026,08/10/2026,20260810,94,26-16,26,16,2,12,2026-07-30,2026-08-12,0,0,1,B
2026-08-11,11,th,Tuesday,2,223,0,33,2026-08-10,2026-08-16,2,8,August,2026-08-01,2026-08-31,3,2026,2026,2025,0,0,2026-08-11,08/2026,08/11/2026,20260811,94,26-16,26,16,2,13,2026-07-30,2026-08-12,0,0,1,A
2026-08-12,12,th,Wednesday,3,224,0,33,2026-08-10,2026-08-16,2,8,August,2026-08-01,2026-08-31,3,2026,2026,2025,0,0,2026-08-12,08/2026,08/12/2026,20260812,94,26-16,26,16,2,14,2026-07-30,2026-08-12,0,0,1,B
2026-08-13,13,th,Thursday,4,225,0,33,2026-08-10,2026-08-16,2,8,August,2026-08-01,2026-08-31,3,2026,2026,2025,0,0,2026-08-13,08/2026,08/13/2026,20260813,95,26-17,26,17,1,1,2026-08-13,2026-08-26,0,0,1,A
2026-08-14,14,th,Friday,5,226,0,33,2026-08-10,2026-08-16,2,8,August,2026-08-01,2026-08-31,3,2026,2026,2025,0,0,2026-08-14,08/2026,08/14/2026,20260814,95,26-17,26,17,1,2,2026-08-13,2026-08-26,0,0,1,B
2026-08-15,15,th,Saturday,6,227,1,33,2026-08-10,2026-08-16,3,8,August,2026-08-01,2026-08-31,3,2026,2026,2025,0,0,2026-08-15,08/2026,08/15/2026,20260815,95,26-17,26,17,1,3,2026-08-13,2026-08-26,0,0,0,
2026-08-16,16,th,Sunday,7,228,1,33,2026-08-10,2026-08-16,3,8,August,2026-08-01,2026-08-31,3,2026,2026,2025,0,0,2026-08-16,08/2026,08/16/2026,20260816,95,26-17,26,17,1,4,2026-08-13,2026-08-26,0,0,0,
2026-08-17,17,th,Monday,1,229,0,34,2026-08-17,2026-08-23,3,8,August,2026-08-01,2026-08-31,3,2026,2026,2025,0,0,2026-08-17,08/2026,08/17/2026,20260817,95,26-17,26,17,1,5,2026-08-13,2026-08-26,0,0,1,A
2026-08-18,18,th,Tuesday,2,230,0,34,2026-08-17,2026-08-23,3,8,August,2026-08-01,2026-08-31,3,2026,2026,2025,0,0,2026-08-18,08/2026,08/18/2026,20260818,95,26-17,26,17,1,6,2026-08-13,2026-08-26,0,0,1,B
2026-08-19,19,th,Wednesday,3,231,0,34,2026-08-17,2026-08-23,3,8,August,2026-08-01,2026-08-31,3,2026,2026,2025,0,0,2026-08-19,08/2026,08/19/2026,20260819,95,26-17,26,17,1,7,2026-08-13,2026-08-26,0,0,1,A
2026-08-20,20,th,Thursday,4,232,0,34,2026-08-17,2026-08-23,3,8,August,2026-08-01,2026-08-31,3,2026,2026,2025,0,0,2026-08-20,08/2026,08/20/2026,20260820,95,26-17,26,17,2,8,2026-08-13,2026-08-26,0,0,1,B
2026-08-21,21,st,Friday,5,233,0,34,2026-08-17,2026-08-23,3,8,August,2026-08-01,2026-08-31,3,2026,2026,2025,0,0,2026-08-21,08/2026,08/21/2026,20260821,95,26-17,26,17,2,9,2026-08-13,2026-08-26,0,0,1,A
2026-08-22,22,nd,Saturday,6,234,1,34,2026-08-17,2026-08-23,4,8,August,2026-08-01,2026-08-31,3,2026,2026,2025,0,0,2026-08-22,08/2026,08/22/2026,20260822,95,26-17,26,17,2,10,2026-08-13,2026-08-26,0,0,0,
2026-08-23,23,rd,Sunday,7,235,1,34,2026-08-17,2026-08-23,4,8,August,2026-08-01,2026-08-31,3,2026,2026,2025,0,0,2026-08-23,08/2026,08/23/2026,20260823,95,26-17,26,17,2,11,2026-08-13,2026-08-26,0,0,0,
2026-08-24,24,th,Monday,1,236,0,35,2026-08-24,2026-08-30,4,8,August,2026-08-01,2026-08-31,3,2026,2026,2025,0,0,2026-08-24,08/2026,08/24/2026,20260824,95,26-17,26,17,2,12,2026-08-13,2026-08-26,0,0,1,B
2026-08-25,25,th,Tuesday,2,237,0,35,2026-08-24,2026-08-30,4,8,August,2026-08-01,2026-08-31,3,2026,2026,2025,0,0,2026-08-25,08/2026,08/25/2026,20260825,95,26-17,26,17,2,13,2026-08-13,2026-08-26,0,0,1,A
2026-08-26,26,th,Wednesday,3,238,0,35,2026-08-24,2026-08-30,4,8,August,2026-08-01,2026-08-31,3,2026,2026,2025,0,0,2026-08-26,08/2026,08/26/2026,20260826,95,26-17,26,17,2,14,2026-08-13,2026-08-26,0,0,1,B
2026-08-27,27,th,Thursday,4,239,0,35,2026-08-24,2026-08-30,4,8,August,2026-08-01,2026-08-31,3,2026,2026,2025,0,0,2026-08-27,08/2026,08/27/2026,20260827,96,26-18,26,18,1,1,2026-08-27,2026-09-09,0,0,1,A
2026-08-28,28,th,Friday,5,240,0,35,2026-08-24,2026-08-30,4,8,August,2026-08-01,2026-08-31,3,2026,2026,2025,0,0,2026-08-28,08/2026,08/28/2026,20260828,96,26-18,26,18,1,2,2026-08-27,2026-09-09,0,0,1,B
2026-08-29,29,th,Saturday,6,241,1,35,2026-08-24,2026-08-30,5,8,August,2026-08-01,2026-08-31,3,2026,2026,2025,0,0,2026-08-29,08/2026,08/29/2026,20260829,96,26-18,26,18,1,3,2026-08-27,2026-09-09,0,0,0,
2026-08-30,30,th,Sunday,7,242,1,35,2026-08-24,2026-08-30,5,8,August,2026-08-01,2026-08-31,3,2026,2026,2025,0,0,2026-08-30,08/2026,08/30/2026,20260830,96,26-18,26,18,1,4,2026-08-27,2026-09-09,0,0,0,
2026-08-31,31,st,Monday,1,243,0,36,2026-08-31,2026-09-06,5,8,August,2026-08-01,2026-08-31,3,2026,2026,2025,0,0,2026-08-31,08/2026,08/31/2026,20260831,96,26-18,26,18,1,5,2026-08-27,2026-09-09,0,0,1,A
