date,day,suffix,dow_name,dow_num,doy,weekend,woy,fow,low,wom,month,moy_name,fom,lom,gov_quarter,year,cy,fy,leap_year,53_weeks,disp_date,disp_mm_yyyy,disp_mm_dd_yyyy,disp_date_suffix,ppid,pp,ppy,ppn,ppw,ppd,pp_start,pp_end,pay_day,school_open,school_day,school_ab_day
2030-02-01,1,st,Friday,5,32,0,5,2030-01-28,2030-02-03,1,2,February,2030-02-01,2030-02-28,1,2030,2030,2029,0,0,2030-02-01,02/2030,02/01/2030,20300201,185,30-03,30,3,1,4,2030-01-29,2030-02-11,0,0,1,A
2030-02-02,2,nd,Saturday,6,33,1,5,2030-01-28,2030-02-03,1,2,February,2030-02-01,2030-02-28,1,2030,2030,2029,0,0,2030-02-02,02/2030,02/02/2030,20300202,185,30-03,30,3,1,5,2030-01-29,2030-02-11,0,0,0,
2030-02-03,3,rd,Sunday,7,34,1,5,2030-01-28,2030-02-03,1,2,February,2030-02-01,2030-02-28,1,2030,2030,2029,0,0,2030-02-03,02/2030,02/03/2030,20300203,185,30-03,30,3,1,6,2030-01-29,2030-02-11,0,0,0,
2030-02-04,4,th,Monday,1,35,0,6,2030-02-04,2030-02-10,1,2,February,2030-02-01,2030-02-28,1,2030,2030,2029,0,0,2030-02-04,02/2030,02/04/2030,20300204,185,30-03,30,3,1,7,2030-01-29,2030-02-11,0,0,1,B
2030-02-05,5,th,Tuesday,2,36,0,6,2030-02-04,2030-02-10,1,2,February,2030-02-01,2030-02-28,1,2030,2030,2029,0,0,2030-02-05,02/2030,02/05/2030,20300205,185,30-03,30,3,2,8,2030-01-29,2030-02-11,0,0,1,A
2030-02-06,6,th,Wednesday,3,37,0,6,2030-02-04,2030-02-10,1,2,February,2030-02-01,2030-02-28,1,2030,2030,2029,0,0,2030-02-06,02/2030,02/06/2030,20300206,185,30-03,30,3,2,9,2030-01-29,2030-02-11,0,0,1,B
2030-02-07,7,th,Thursday,4,38,0,6,2030-02-04,2030-02-10,1,2,February,2030-02-01,2030-02-28,1,2030,2030,2029,0,0,2030-02-07,02/2030,02/07/2030,20300207,185,30-03,30,3,2,10,2030-01-29,2030-02-11,0,0,1,A
2030-02-08,8,th,Friday,5,39,0,6,2030-02-04,2030-02-10,2,2,February,2030-02-01,2030-02-28,1,2030,2030,2029,0,0,2030-02-08,02/2030,02/08/2030,20300208,185,30-03,30,3,2,11,2030-01-29,2030-02-11,0,0,1,B
2030-02-09,9,th,Saturday,6,40,1,6,2030-02-04,2030-02-10,2,2,February,2030-02-01,2030-02-28,1,2030,2030,2029,0,0,2030-02-09,02/2030,02/09/2030,20300209,185,30-03,30,3,2,12,2030-01-29,2030-02-11,0,0,0,
2030-02-10,10,th,Sunday,7,41,1,6,2030-02-04,2030-02-10,2,2,February,2030-02-01,2030-02-28,1,2030,2030,2029,0,0,2030-02-10,02/2030,02/10/2030,20300210,185,30-03,30,3,2,13,2030-01-29,2030-02-11,0,0,0,
