date,day,suffix,dow_name,dow_num,doy,weekend,woy,fow,low,wom,month,moy_name,fom,lom,gov_quarter,year,cy,fy,leap_year,53_weeks,disp_date,disp_mm_yyyy,disp_mm_dd_yyyy,disp_date_suffix,ppid,pp,ppy,ppn,ppw,ppd,pp_start,pp_end,pay_day,school_open,school_day,school_ab_day
2029-06-01,1,st,Friday,5,152,0,22,2029-05-28,2029-06-03,1,6,June,2029-06-01,2029-06-30,2,2029,2029,2028,0,0,2029-06-01,06/2029,06/01/2029,20290601,167,29-11,29,11,2,12,2029-05-21,2029-06-03,0,0,1,B
2029-06-02,2,nd,Saturday,6,153,1,22,2029-05-28,2029-06-03,1,6,June,2029-06-01,2029-06-30,2,2029,2029,2028,0,0,2029-06-02,06/2029,06/02/2029,20290602,167,29-11,29,11,2,13,2029-05-21,2029-06-03,0,0,0,
2029-06-03,3,rd,Sunday,7,154,1,22,2029-05-28,2029-06-03,1,6,June,2029-06-01,2029-06-30,2,2029,2029,2028,0,0,2029-06-03,06/2029,06/03/2029,20290603,167,29-11,29,11,2,14,2029-05-21,2029-06-03,0,0,0,
2029-06-04,4,th,Monday,1,155,0,23,2029-06-04,2029-06-10,1,6,June,2029-06-01,2029-06-30,2,2029,2029,2028,0,0,2029-06-04,06/2029,06/04/2029,20290604,168,29-12,29,12,1,1,2029-06-04,2029-06-17,0,0,1,A
2029-06-05,5,th,Tuesday,2,156,0,23,2029-06-04,2029-06-10,1,6,June,2029-06-01,2029-06-30,2,2029,2029,2028,0,0,2029-06-05,06/2029,06/05/2029,20290605,168,29-12,29,12,1,2,2029-06-04,2029-06-17,0,0,1,B
2029-06-06,6,th,Wednesday,3,157,0,23,2029-06-04,2029-06-10,1,6,June,2029-06-01,2029-06-30,2,2029,2029,2028,0,0,2029-06-06,06/2029,06/06/2029,20290606,168,29-12,29,12,1,3,2029-06-04,2029-06-17,0,0,1,A
2029-06-07,7,th,Thursday,4,158,0,23,2029-06-04,2029-06-10,1,6,June,2029-06-01,2029-06-30,2,2029,2029,2028,0,0,2029-06-07,06/2029,06/07/2029,20290607,168,29-12,29,12,1,4,2029-06-04,2029-06-17,0,0,1,B
2029-06-08,8,th,Friday,5,159,0,23,2029-06-04,2029-06-10,2,6,June,2029-06-01,2029-06-30,2,2029,2029,2028,0,0,2029-06-08,06/2029,06/08/2029,20290608,168,29-12,29,12,1,5,2029-06-04,2029-06-17,0,0,1,A
2029-06-09,9,th,Saturday,6,160,1,23,2029-06-04,2029-06-10,2,6,June,2029-06-01,2029-06-30,2,2029,2029,2028,0,0,2029-06-09,06/2029,06/09/2029,20290609,168,29-12,29,12,1,6,2029-06-04,2029-06-17,0,0,0,
2029-06-10,10,th,Sunday,7,161,1,23,2029-06-04,2029-06-10,2,6,June,2029-06-01,2029-06-30,2,2029,2029,2028,0,0,2029-06-10,06/2029,06/10/2029,20290610,168,29-12,29,12,1,7,2029-06-04,2029-06-17,0,0,0,
