date,day,suffix,dow_name,dow_num,doy,weekend,woy,fow,low,wom,month,moy_name,fom,lom,gov_quarter,year,cy,fy,leap_year,53_weeks,disp_date,disp_mm_yyyy,disp_mm_dd_yyyy,disp_date_suffix,ppid,pp,ppy,ppn,ppw,ppd,pp_start,pp_end,pay_day,school_open,school_day,school_ab_day
2023-05-01,1,st,Monday,1,121,0,18,2023-05-01,2023-05-07,1,5,May,2023-05-01,2023-05-31,2,2023,2023,2022,0,0,2023-05-01,05/2023,05/01/2023,20230501,9,23-09,23,9,2,9,2023-04-23,2023-05-06,0,0,0,
2023-05-02,2,nd,Tuesday,2,122,0,18,2023-05-01,2023-05-07,1,5,May,2023-05-01,2023-05-31,2,2023,2023,2022,0,0,2023-05-02,05/2023,05/02/2023,20230502,9,23-09,23,9,2,10,2023-04-23,2023-05-06,0,0,0,
2023-05-03,3,rd,Wednesday,3,123,0,18,2023-05-01,2023-05-07,1,5,May,2023-05-01,2023-05-31,2,2023,2023,2022,0,0,2023-05-03,05/2023,05/03/2023,20230503,9,23-09,23,9,2,11,2023-04-23,2023-05-06,0,0,0,
2023-05-04,4,th,Thursday,4,124,0,18,2023-05-01,2023-05-07,1,5,May,2023-05-01,2023-05-31,2,2023,2023,2022,0,0,2023-05-04,05/2023,05/04/2023,20230504,9,23-09,23,9,2,12,2023-04-23,2023-05-06,0,0,0,
2023-05-05,5,th,Friday,5,125,0,18,2023-05-01,2023-05-07,1,5,May,2023-05-01,2023-05-31,2,2023,2023,2022,0,0,2023-05-05,05/2023,05/05/2023,20230505,9,23-09,23,9,2,13,2023-04-23,2023-05-06,0,0,0,
2023-05-06,6,th,Saturday,6,126,1,18,2023-05-01,2023-05-07,1,5,May,2023-05-01,2023-05-31,2,2023,2023,2022,0,0,2023-05-06,05/2023,05/06/2023,20230506,9,23-09,23,9,2,14,2023-04-23,2023-05-06,0,0,0,
2023-05-07,7,th,Sunday,7,127,1,18,2023-05-01,2023-05-07,1,5,May,2023-05-01,2023-05-31,2,2023,2023,2022,0,0,2023-05-07,05/2023,05/07/2023,20230507,10,23-10,23,10,1,1,2023-05-07,2023-05-20,0,0,0,
2023-05-08,8,th,Monday,1,128,0,19,2023-05-08,2023-05-14,2,5,May,2023-05-01,2023-05-31,2,2023,2023,2022,0,0,2023-05-08,05/2023,05/08/2023,20230508,10,23-10,23,10,1,2,2023-05-07,2023-05-20,0,0,0,
2023-05-09,9,th,Tuesday,2,129,0,19,2023-05-08,2023-05-14,2,5,May,2023-05-01,2023-05-31,2,2023,2023,2022,0,0,2023-05-09,05/2023,05/09/2023,20230509,10,23-10,23,10,1,3,2023-05-07,2023-05-20,0,0,0,
2023-05-10,10,th,Wednesday,3,130,0,19,2023-05-08,2023-05-14,2,5,May,2023-05-01,2023-05-31,2,2023,2023,2022,0,0,2023-05-10,05/2023,05/10/2023,20230510,10,23-10,23,10,1,4,2023-05-07,2023-05-20,0,0,0,
