date,day,suffix,dow_name,dow_num,doy,weekend,woy,fow,low,wom,month,moy_name,fom,lom,gov_quarter,year,cy,fy,leap_year,53_weeks,disp_date,disp_mm_yyyy,disp_mm_dd_yyyy,disp_date_suffix,ppid,pp,ppy,ppn,ppw,ppd,pp_start,pp_end,pay_day,school_open,school_day,school_ab_day
2061-07-01,1,st,Friday,5,182,0,26,2061-06-27,2061-07-03,1,7,July,2061-07-01,2061-07-31,3,2061,2061,2060,0,0,2061-07-01,07/2061,07/01/2061,20610701,1001,61-13,61,13,2,14,2061-06-18,2061-07-01,0,0,1,B
2061-07-02,2,nd,Saturday,6,183,1,26,2061-06-27,2061-07-03,1,7,July,2061-07-01,2061-07-31,3,2061,2061,2060,0,0,2061-07-02,07/2061,07/02/2061,20610702,1002,61-14,61,14,1,1,2061-07-02,2061-07-15,0,0,0,
2061-07-03,3,rd,Sunday,7,184,1,26,2061-06-27,2061-07-03,1,7,July,2061-07-01,2061-07-31,3,2061,2061,2060,0,0,2061-07-03,07/2061,07/03/2061,20610703,1002,61-14,61,14,1,2,2061-07-02,2061-07-15,0,0,0,
2061-07-04,4,th,Monday,1,185,0,27,2061-07-04,2061-07-10,1,7,July,2061-07-01,2061-07-31,3,2061,2061,2060,0,0,2061-07-04,07/2061,07/04/2061,20610704,1002,61-14,61,14,1,3,2061-07-02,2061-07-15,0,0,1,A
2061-07-05,5,th,Tuesday,2,186,0,27,2061-07-04,2061-07-10,1,7,July,2061-07-01,2061-07-31,3,2061,2061,2060,0,0,2061-07-05,07/2061,07/05/2061,20610705,1002,61-14,61,14,1,4,2061-07-02,2061-07-15,0,0,1,B
2061-07-06,6,th,Wednesday,3,187,0,27,2061-07-04,2061-07-10,1,7,July,2061-07-01,2061-07-31,3,2061,2061,2060,0,0,2061-07-06,07/2061,07/06/2061,20610706,1002,61-14,61,14,1,5,2061-07-02,2061-07-15,0,0,1,A
2061-07-07,7,th,Thursday,4,188,0,27,2061-07-04,2061-07-10,1,7,July,2061-07-01,2061-07-31,3,2061,2061,2060,0,0,2061-07-07,07/2061,07/07/2061,20610707,1002,61-14,61,14,1,6,2061-07-02,2061-07-15,0,0,1,B
2061-07-08,8,th,Friday,5,189,0,27,2061-07-04,2061-07-10,2,7,July,2061-07-01,2061-07-31,3,2061,2061,2060,0,0,2061-07-08,07/2061,07/08/2061,20610708,1002,61-14,61,14,1,7,2061-07-02,2061-07-15,0,0,1,A
2061-07-09,9,th,Saturday,6,190,1,27,2061-07-04,2061-07-10,2,7,July,2061-07-01,2061-07-31,3,2061,2061,2060,0,0,2061-07-09,07/2061,07/09/2061,20610709,1002,61-14,61,14,2,8,2061-07-02,2061-07-15,0,0,0,
2061-07-10,10,th,Sunday,7,191,1,27,2061-07-04,2061-07-10,2,7,July,2061-07-01,2061-07-31,3,2061,2061,2060,0,0,2061-07-10,07/2061,07/10/2061,20610710,1002,61-14,61,14,2,9,2061-07-02,2061-07-15,0,0,0,
2061-07-11,11,th,Monday,1,192,0,28,2061-07-11,2061-07-17,2,7,July,2061-07-01,2061-07-31,3,2061,2061,2060,0,0,2061-07-11,07/2061,07/11/2061,20610711,1002,61-14,61,14,2,10,2061-07-02,2061-07-15,0,0,1,B
2061-07-12,12,th,Tuesday,2,193,0,28,2061-07-11,2061-07-17,2,7,July,2061-07-01,2061-07-31,3,2061,2061,2060,0,0,2061-07-12,07/2061,07/12/2061,20610712,1002,61-14,61,14,2,11,2061-07-02,2061-07-15,0,0,1,A
2061-07-13,13,th,Wednesday,3,194,0,28,2061-07-11,2061-07-17,2,7,July,2061-07-01,2061-07-31,3,2061,2061,2060,0,0,2061-07-13,07/2061,07/13/2061,20610713,1002,61-14,61,14,2,12,2061-07-02,2061-07-15,0,0,1,B
2061-07-14,14,th,Thursday,4,195,0,28,2061-07-11,2061-07-17,2,7,July,2061-07-01,2061-07-31,3,2061,2061,2060,0,0,2061-07-14,07/2061,07/14/2061,20610714,1002,61-14,61,14,2,13,2061-07-02,2061-07-15,0,0,1,A
2061-07-15,15,th,Friday,5,196,0,28,2061-07-11,2061-07-17,3,7,July,2061-07-01,2061-07-31,3,2061,2061,2060,0,0,2061-07-15,07/2061,07/15/2061,20610715,1002,61-14,61,14,2,14,2061-07-02,2061-07-15,0,0,1,B
2061-07-16,16,th,Saturday,6,197,1,28,2061-07-11,2061-07-17,3,7,July,2061-07-01,2061-07-31,3,2061,2061,2060,0,0,2061-07-16,07/2061,07/16/2061,20610716,1003,61-15,61,15,1,1,2061-07-16,2061-07-29,0,0,0,
2061-07-17,17,th,Sunday,7,198,1,28,2061-07-11,2061-07-17,3,7,July,2061-07-01,2061-07-31,3,2061,2061,2060,0,0,2061-07-17,07/2061,07/17/2061,20610717,1003,61-15,61,15,1,2,2061-07-16,2061-07-29,0,0,0,
2061-07-18,18,th,Monday,1,199,0,29,2061-07-18,2061-07-24,3,7,July,2061-07-01,2061-07-31,3,2061,2061,2060,0,0,2061-07-18,07/2061,07/18/2061,20610718,1003,61-15,61,15,1,3,2061-07-16,2061-07-29,0,0,1,A
2061-07-19,19,th,Tuesday,2,200,0,29,2061-07-18,2061-07-24,3,7,July,2061-07-01,2061-07-31,3,2061,2061,2060,0,0,2061-07-19,07/2061,07/19/2061,20610719,1003,61-15,61,15,1,4,2061-07-16,2061-07-29,0,0,1,B
2061-07-20,20,th,Wednesday,3,201,0,29,2061-07-18,2061-07-24,3,7,July,2061-07-01,2061-07-31,3,2061,2061,2060,0,0,2061-07-20,07/2061,07/20/2061,20610720,1003,61-15,61,15,1,5,2061-07-16,2061-07-29,0,0,1,A
2061-07-21,21,st,Thursday,4,202,0,29,2061-07-18,2061-07-24,3,7,July,2061-07-01,2061-07-31,3,2061,2061,2060,0,0,2061-07-21,07/2061,07/21/2061,20610721,1003,61-15,61,15,1,6,2061-07-16,2061-07-29,0,0,1,B
2061-07-22,22,nd,Friday,5,203,0,29,2061-07-18,2061-07-24,4,7,July,2061-07-01,2061-07-31,3,2061,2061,2060,0,0,2061-07-22,07/2061,07/22/2061,20610722,1003,61-15,61,15,1,7,2061-07-16,2061-07-29,0,0,1,A
2061-07-23,23,rd,Saturday,6,204,1,29,2061-07-18,2061-07-24,4,7,July,2061-07-01,2061-07-31,3,2061,2061,2060,0,0,2061-07-23,07/2061,07/23/2061,20610723,1003,61-15,61,15,2,8,2061-07-16,2061-07-29,0,0,0,
2061-07-24,24,th,Sunday,7,205,1,29,2061-07-18,2061-07-24,4,7,July,2061-07-01,2061-07-31,3,2061,2061,2060,0,0,2061-07-24,07/2061,07/24/2061,20610724,1003,61-15,61,15,2,9,2061-07-16,2061-07-29,0,0,0,
2061-07-25,25,th,Monday,1,206,0,30,2061-07-25,2061-07-31,4,7,July,2061-07-01,2061-07-31,3,2061,2061,2060,0,0,2061-07-25,07/2061,07/25/2061,20610725,1003,61-15,61,15,2,10,2061-07-16,2061-07-29,0,0,1,B
2061-07-26,26,th,Tuesday,2,207,0,30,2061-07-25,2061-07-31,4,7,July,2061-07-01,2061-07-31,3,2061,2061,2060,0,0,2061-07-26,07/2061,07/26/2061,20610726,1003,61-15,61,15,2,11,2061-07-16,2061-07-29,0,0,1,A
2061-07-27,27,th,Wednesday,3,208,0,30,2061-07-25,2061-07-31,4,7,July,2061-07-01,2061-07-31,3,2061,2061,2060,0,0,2061-07-27,07/2061,07/27/2061,20610727,1003,61-15,61,15,2,12,2061-07-16,2061-07-29,0,0,1,B
2061-07-28,28,th,Thursday,4,209,0,30,2061-07-25,2061-07-31,4,7,July,2061-07-01,2061-07-31,3,2061,2061,2060,0,0,2061-07-28,07/2061,07/28/2061,20610728,1003,61-15,61,15,2,13,2061-07-16,2061-07-29,0,0,1,A
2061-07-29,29,th,Friday,5,210,0,30,2061-07-25,2061-07-31,5,7,July,2061-07-01,2061-07-31,3,2061,2061,2060,0,0,2061-07-29,07/2061,07/29/2061,20610729,1003,61-15,61,15,2,14,2061-07-16,2061-07-29,0,0,1,B
2061-07-30,30,th,Saturday,6,211,1,30,2061-07-25,2061-07-31,5,7,July,2061-07-01,2061-07-31,3,2061,2061,2060,0,0,2061-07-30,07/2061,07/30/2061,20610730,1004,61-16,61,16,1,1,2061-07-30,2061-08-12,0,0,0,
2061-07-31,31,st,Sunday,7,212,1,30,2061-07-25,2061-07-31,5,7,July,2061-07-01,2061-07-31,3,2061,2061,2060,0,0,2061-07-31,07/2061,07/31/2061,20610731,1004,61-16,61,16,1,2,2061-07-30,2061-08-12,0,0,0,
