date,day,suffix,dow_name,dow_num,doy,weekend,woy,fow,low,wom,month,moy_name,fom,lom,gov_quarter,year,cy,fy,leap_year,53_weeks,disp_date,disp_mm_yyyy,disp_mm_dd_yyyy,disp_date_suffix,ppid,pp,ppy,ppn,ppw,ppd,pp_start,pp_end,pay_day,school_open,school_day,school_ab_day
2038-01-01,1,st,Friday,5,1,0,53,2037-12-28,2038-01-03,1,1,January,2038-01-01,2038-01-31,1,2038,2038,2037,0,1,2038-01-01,01/2038,01/01/2038,20380101,391,38-01,38,1,1,1,2038-01-01,2038-01-14,0,0,1,B
2038-01-02,2,nd,Saturday,6,2,1,53,2037-12-28,2038-01-03,1,1,January,2038-01-01,2038-01-31,1,2038,2038,2037,0,1,2038-01-02,01/2038,01/02/2038,20380102,391,38-01,38,1,1,2,2038-01-01,2038-01-14,0,0,0,
2038-01-03,3,rd,Sunday,7,3,1,53,2037-12-28,2038-01-03,1,1,January,2038-01-01,2038-01-31,1,2038,2038,2037,0,1,2038-01-03,01/2038,01/03/2038,20380103,391,38-01,38,1,1,3,2038-01-01,2038-01-14,0,0,0,
2038-01-04,4,th,Monday,1,4,0,1,2038-01-04,2038-01-10,1,1,January,2038-01-01,2038-01-31,1,2038,2038,2037,0,0,2038-01-04,01/2038,01/04/2038,20380104,391,38-01,38,1,1,4,2038-01-01,2038-01-14,0,0,1,A
2038-01-05,5,th,Tuesday,2,5,0,1,2038-01-04,2038-01-10,1,1,January,2038-01-01,2038-01-31,1,2038,2038,2037,0,0,2038-01-05,01/2038,01/05/2038,20380105,391,38-01,38,1,1,5,2038-01-01,2038-01-14,0,0,1,B
2038-01-06,6,th,Wednesday,3,6,0,1,2038-01-04,2038-01-10,1,1,January,2038-01-01,2038-01-31,1,2038,2038,2037,0,0,2038-01-06,01/2038,01/06/2038,20380106,391,38-01,38,1,1,6,2038-01-01,2038-01-14,0,0,1,A
2038-01-07,7,th,Thursday,4,7,0,1,2038-01-04,2038-01-10,1,1,January,2038-01-01,2038-01-31,1,2038,2038,2037,0,0,2038-01-07,01/2038,01/07/2038,20380107,391,38-01,38,1,1,7,2038-01-01,2038-01-14,0,0,1,B
2038-01-08,8,th,Friday,5,8,0,1,2038-01-04,2038-01-10,2,1,January,2038-01-01,2038-01-31,1,2038,2038,2037,0,0,2038-01-08,01/2038,01/08/2038,20380108,391,38-01,38,1,2,8,2038-01-01,2038-01-14,0,0,1,A
2038-01-09,9,th,Saturday,6,9,1,1,2038-01-04,2038-01-10,2,1,January,2038-01-01,2038-01-31,1,2038,2038,2037,0,0,2038-01-09,01/2038,01/09/2038,20380109,391,38-01,38,1,2,9,2038-01-01,2038-01-14,0,0,0,
2038-01-10,10,th,Sunday,7,10,1,1,2038-01-04,2038-01-10,2,1,January,2038-01-01,2038-01-31,1,2038,2038,2037,0,0,2038-01-10,01/2038,01/10/2038,20380110,391,38-01,38,1,2,10,2038-01-01,2038-01-14,0,0,0,
2038-01-11,11,th,Monday,1,11,0,2,2038-01-11,2038-01-17,2,1,January,2038-01-01,2038-01-31,1,2038,2038,2037,0,0,2038-01-11,01/2038,01/11/2038,20380111,391,38-01,38,1,2,11,2038-01-01,2038-01-14,0,0,1,B
