date,day,suffix,dow_name,dow_num,doy,weekend,woy,fow,low,wom,month,moy_name,fom,lom,gov_quarter,year,cy,fy,leap_year,53_weeks,disp_date,disp_mm_yyyy,disp_mm_dd_yyyy,disp_date_suffix,ppid,pp,ppy,ppn,ppw,ppd,pp_start,pp_end,pay_day,school_open,school_day,school_ab_day
2032-01-01,1,st,Thursday,4,1,0,1,2031-12-29,2032-01-04,1,1,January,2032-01-01,2032-01-31,1,2032,2032,2031,1,0,2032-01-01,01/2032,01/01/2032,20320101,235,32-01,32,1,1,1,2032-01-01,2032-01-14,0,0,1,B
2032-01-02,2,nd,Friday,5,2,0,1,2031-12-29,2032-01-04,1,1,January,2032-01-01,2032-01-31,1,2032,2032,2031,1,0,2032-01-02,01/2032,01/02/2032,20320102,235,32-01,32,1,1,2,2032-01-01,2032-01-14,0,0,1,A
2032-01-03,3,rd,Saturday,6,3,1,1,2031-12-29,2032-01-04,1,1,January,2032-01-01,2032-01-31,1,2032,2032,2031,1,0,2032-01-03,01/2032,01/03/2032,20320103,235,32-01,32,1,1,3,2032-01-01,2032-01-14,0,0,0,
2032-01-04,4,th,Sunday,7,4,1,1,2031-12-29,2032-01-04,1,1,January,2032-01-01,2032-01-31,1,2032,2032,2031,1,0,2032-01-04,01/2032,01/04/2032,20320104,235,32-01,32,1,1,4,2032-01-01,2032-01-14,0,0,0,
2032-01-05,5,th,Monday,1,5,0,2,2032-01-05,2032-01-11,1,1,January,2032-01-01,2032-01-31,1,2032,2032,2031,1,0,2032-01-05,01/2032,01/05/2032,20320105,235,32-01,32,1,1,5,2032-01-01,2032-01-14,0,0,1,B
2032-01-06,6,th,Tuesday,2,6,0,2,2032-01-05,2032-01-11,1,1,January,2032-01-01,2032-01-31,1,2032,2032,2031,1,0,2032-01-06,01/2032,01/06/2032,20320106,235,32-01,32,1,1,6,2032-01-01,2032-01-14,0,0,1,A
2032-01-07,7,th,Wednesday,3,7,0,2,2032-01-05,2032-01-11,1,1,January,2032-01-01,2032-01-31,1,2032,2032,2031,1,0,2032-01-07,01/2032,01/07/2032,20320107,235,32-01,32,1,1,7,2032-01-01,2032-01-14,0,0,1,B
2032-01-08,8,th,Thursday,4,8,0,2,2032-01-05,2032-01-11,2,1,January,2032-01-01,2032-01-31,1,2032,2032,2031,1,0,2032-01-08,01/2032,01/08/2032,20320108,235,32-01,32,1,2,8,2032-01-01,2032-01-14,0,0,1,A
2032-01-09,9,th,Friday,5,9,0,2,2032-01-05,2032-01-11,2,1,January,2032-01-01,2032-01-31,1,2032,2032,2031,1,0,2032-01-09,01/2032,01/09/2032,20320109,235,32-01,32,1,2,9,2032-01-01,2032-01-14,0,0,1,B
2032-01-10,10,th,Saturday,6,10,1,2,2032-01-05,2032-01-11,2,1,January,2032-01-01,2032-01-31,1,2032,2032,2031,1,0,2032-01-10,01/2032,01/10/2032,20320110,235,32-01,32,1,2,10,2032-01-01,2032-01-14,0,0,0,
2032-01-11,11,th,Sunday,7,11,1,2,2032-01-05,2032-01-11,2,1,January,2032-01-01,2032-01-31,1,2032,2032,2031,1,0,2032-01-11,01/2032,01/11/2032,20320111,235,32-01,32,1,2,11,2032-01-01,2032-01-14,0,0,0,
2032-01-12,12,th,Monday,1,12,0,3,2032-01-12,2032-01-18,2,1,January,2032-01-01,2032-01-31,1,2032,2032,2031,1,0,2032-01-12,01/2032,01/12/2032,20320112,235,32-01,32,1,2,12,2032-01-01,2032-01-14,0,0,1,A
2032-01-13,13,th,Tuesday,2,13,0,3,2032-01-12,2032-01-18,2,1,January,2032-01-01,2032-01-31,1,2032,2032,2031,1,0,2032-01-13,01/2032,01/13/2032,20320113,235,32-01,32,1,2,13,2032-01-01,2032-01-14,0,0,1,B
2032-01-14,14,th,Wednesday,3,14,0,3,2032-01-12,2032-01-18,2,1,January,2032-01-01,2032-01-31,1,2032,2032,2031,1,0,2032-01-14,01/2032,01/14/2032,20320114,235,32-01,32,1,2,14,2032-01-01,2032-01-14,0,0,1,A
2032-01-15,15,th,Thursday,4,15,0,3,2032-01-12,2032-01-18,3,1,January,2032-01-01,2032-01-31,1,2032,2032,2031,1,0,2032-01-15,01/2032,01/15/2032,20320115,236,32-02,32,2,1,1,2032-01-15,2032-01-28,0,0,1,B
2032-01-16,16,th,Friday,5,16,0,3,2032-01-12,2032-01-18,3,1,January,2032-01-01,2032-01-31,1,2032,2032,2031,1,0,2032-01-16,01/2032,01/16/2032,20320116,236,32-02,32,2,1,2,2032-01-15,2032-01-28,0,0,1,A
2032-01-17,17,th,Saturday,6,17,1,3,2032-01-12,2032-01-18,3,1,January,2032-01-01,2032-01-31,1,2032,2032,2031,1,0,2032-01-17,01/2032,01/17/2032,20320117,236,32-02,32,2,1,3,2032-01-15,2032-01-28,0,0,0,
2032-01-18,18,th,Sunday,7,18,1,3,2032-01-12,2032-01-18,3,1,January,2032-01-01,2032-01-31,1,2032,2032,2031,1,0,2032-01-18,01/2032,01/18/2032,20320118,236,32-02,32,2,1,4,2032-01-15,2032-01-28,0,0,0,
