date,day,suffix,dow_name,dow_num,doy,weekend,woy,fow,low,wom,month,moy_name,fom,lom,gov_quarter,year,cy,fy,leap_year,53_weeks,disp_date,disp_mm_yyyy,disp_mm_dd_yyyy,disp_date_suffix,ppid,pp,ppy,ppn,ppw,ppd,pp_start,pp_end,pay_day,school_open,school_day,school_ab_day
2060-05-01,1,st,Saturday,6,122,1,18,2060-04-26,2060-05-02,1,5,May,2060-05-01,2060-05-31,2,2060,2060,2059,1,0,2060-05-01,05/2060,05/01/2060,20600501,971,60-09,60,9,2,10,2060-04-22,2060-05-05,0,0,0,
2060-05-02,2,nd,Sunday,7,123,1,18,2060-04-26,2060-05-02,1,5,May,2060-05-01,2060-05-31,2,2060,2060,2059,1,0,2060-05-02,05/2060,05/02/2060,20600502,971,60-09,60,9,2,11,2060-04-22,2060-05-05,0,0,0,
2060-05-03,3,rd,Monday,1,124,0,19,2060-05-03,2060-05-09,1,5,May,2060-05-01,2060-05-31,2,2060,2060,2059,1,0,2060-05-03,05/2060,05/03/2060,20600503,971,60-09,60,9,2,12,2060-04-22,2060-05-05,0,0,1,B
2060-05-04,4,th,Tuesday,2,125,0,19,2060-05-03,2060-05-09,1,5,May,2060-05-01,2060-05-31,2,2060,2060,2059,1,0,2060-05-04,05/2060,05/04/2060,20600504,971,60-09,60,9,2,13,2060-04-22,2060-05-05,0,0,1,A
2060-05-05,5,th,Wednesday,3,126,0,19,2060-05-03,2060-05-09,1,5,May,2060-05-01,2060-05-31,2,2060,2060,2059,1,0,2060-05-05,05/2060,05/05/2060,20600505,971,60-09,60,9,2,14,2060-04-22,2060-05-05,0,0,1,B
2060-05-06,6,th,Thursday,4,127,0,19,2060-05-03,2060-05-09,1,5,May,2060-05-01,2060-05-31,2,2060,2060,2059,1,0,2060-05-06,05/2060,05/06/2060,20600506,972,60-10,60,10,1,1,2060-05-06,2060-05-19,0,0,1,A
2060-05-07,7,th,Friday,5,128,0,19,2060-05-03,2060-05-09,1,5,May,2060-05-01,2060-05-31,2,2060,2060,2059,1,0,2060-05-07,05/2060,05/07/2060,20600507,972,60-10,60,10,1,2,2060-05-06,2060-05-19,0,0,1,B
2060-05-08,8,th,Saturday,6,129,1,19,2060-05-03,2060-05-09,2,5,May,2060-05-01,2060-05-31,2,2060,2060,2059,1,0,2060-05-08,05/2060,05/08/2060,20600508,972,60-10,60,10,1,3,2060-05-06,2060-05-19,0,0,0,
2060-05-09,9,th,Sunday,7,130,1,19,2060-05-03,2060-05-09,2,5,May,2060-05-01,2060-05-31,2,2060,2060,2059,1,0,2060-05-09,05/2060,05/09/2060,20600509,972,60-10,60,10,1,4,2060-05-06,2060-05-19,0,0,0,
2060-05-10,10,th,Monday,1,131,0,20,2060-05-10,2060-05-16,2,5,May,2060-05-01,2060-05-31,2,2060,2060,2059,1,0,2060-05-10,05/2060,05/10/2060,20600510,972,60-10,60,10,1,5,2060-05-06,2060-05-19,0,0,1,A
2060-05-11,11,th,Tuesday,2,132,0,20,2060-05-10,2060-05-16,2,5,May,2060-05-01,2060-05-31,2,2060,2060,2059,1,0,2060-05-11,05/2060,05/11/2060,20600511,972,60-10,60,10,1,6,2060-05-06,2060-05-19,0,0,1,B
2060-05-12,12,th,Wednesday,3,133,0,20,2060-05-10,2060-05-16,2,5,May,2060-05-01,2060-05-31,2,2060,2060,2059,1,0,2060-05-12,05/2060,05/12/2060,20600512,972,60-10,60,10,1,7,2060-05-06,2060-05-19,0,0,1,A
2060-05-13,13,th,Thursday,4,134,0,20,2060-05-10,2060-05-16,2,5,May,2060-05-01,2060-05-31,2,2060,2060,2059,1,0,2060-05-13,05/2060,05/13/2060,20600513,972,60-10,60,10,2,8,2060-05-06,2060-05-19,0,0,1,B
2060-05-14,14,th,Friday,5,135,0,20,2060-05-10,2060-05-16,2,5,May,2060-05-01,2060-05-31,2,2060,2060,2059,1,0,2060-05-14,05/2060,05/14/2060,20600514,972,60-10,60,10,2,9,2060-05-06,2060-05-19,0,0,1,A
2060-05-15,15,th,Saturday,6,136,1,20,2060-05-10,2060-05-16,3,5,May,2060-05-01,2060-05-31,2,2060,2060,2059,1,0,2060-05-15,05/2060,05/15/2060,20600515,972,60-10,60,10,2,10,2060-05-06,2060-05-19,0,0,0,
2060-05-16,16,th,Sunday,7,137,1,20,2060-05-10,2060-05-16,3,5,May,2060-05-01,2060-05-31,2,2060,2060,2059,1,0,2060-05-16,05/2060,05/16/2060,20600516,972,60-10,60,10,2,11,2060-05-06,2060-05-19,0,0,0,
2060-05-17,17,th,Monday,1,138,0,21,2060-05-17,2060-05-23,3,5,May,2060-05-01,2060-05-31,2,2060,2060,2059,1,0,2060-05-17,05/2060,05/17/2060,20600517,972,60-10,60,10,2,12,2060-05-06,2060-05-19,0,0,1,B
2060-05-18,18,th,Tuesday,2,139,0,21,2060-05-17,2060-05-23,3,5,May,2060-05-01,2060-05-31,2,2060,2060,2059,1,0,2060-05-18,05/2060,05/18/2060,20600518,972,60-10,60,10,2,13,2060-05-06,2060-05-19,0,0,1,A
2060-05-19,19,th,Wednesday,3,140,0,21,2060-05-17,2060-05-23,3,5,May,2060-05-01,2060-05-31,2,2060,2060,2059,1,0,2060-05-19,05/2060,05/19/2060,20600519,972,60-10,60,10,2,14,2060-05-06,2060-05-19,0,0,1,B
