date,day,suffix,dow_name,dow_num,doy,weekend,woy,fow,low,wom,month,moy_name,fom,lom,gov_quarter,year,cy,fy,leap_year,53_weeks,disp_date,disp_mm_yyyy,disp_mm_dd_yyyy,disp_date_suffix,ppid,pp,ppy,ppn,ppw,ppd,pp_start,pp_end,pay_day,school_open,school_day,school_ab_day
2049-02-01,1,st,Monday,1,32,0,5,2049-02-01,2049-02-07,1,2,February,2049-02-01,2049-02-28,1,2049,2049,2048,0,0,2049-02-01,02/2049,02/01/2049,20490201,679,49-03,49,3,1,4,2049-01-29,2049-02-11,0,0,1,A
2049-02-02,2,nd,Tuesday,2,33,0,5,2049-02-01,2049-02-07,1,2,February,2049-02-01,2049-02-28,1,2049,2049,2048,0,0,2049-02-02,02/2049,02/02/2049,20490202,679,49-03,49,3,1,5,2049-01-29,2049-02-11,0,0,1,B
2049-02-03,3,rd,Wednesday,3,34,0,5,2049-02-01,2049-02-07,1,2,February,2049-02-01,2049-02-28,1,2049,2049,2048,0,0,2049-02-03,02/2049,02/03/2049,20490203,679,49-03,49,3,1,6,2049-01-29,2049-02-11,0,0,1,A
2049-02-04,4,th,Thursday,4,35,0,5,2049-02-01,2049-02-07,1,2,February,2049-02-01,2049-02-28,1,2049,2049,2048,0,0,2049-02-04,02/2049,02/04/2049,20490204,679,49-03,49,3,1,7,2049-01-29,2049-02-11,0,0,1,B
2049-02-05,5,th,Friday,5,36,0,5,2049-02-01,2049-02-07,1,2,February,2049-02-01,2049-02-28,1,2049,2049,2048,0,0,2049-02-05,02/2049,02/05/2049,20490205,679,49-03,49,3,2,8,2049-01-29,2049-02-11,0,0,1,A
2049-02-06,6,th,Saturday,6,37,1,5,2049-02-01,2049-02-07,1,2,February,2049-02-01,2049-02-28,1,2049,2049,2048,0,0,2049-02-06,02/2049,02/06/2049,20490206,679,49-03,49,3,2,9,2049-01-29,2049-02-11,0,0,0,
2049-02-07,7,th,Sunday,7,38,1,5,2049-02-01,2049-02-07,1,2,February,2049-02-01,2049-02-28,1,2049,2049,2048,0,0,2049-02-07,02/2049,02/07/2049,20490207,679,49-03,49,3,2,10,2049-01-29,2049-02-11,0,0,0,
2049-02-08,8,th,Monday,1,39,0,6,2049-02-08,2049-02-14,2,2,February,2049-02-01,2049-02-28,1,2049,2049,2048,0,0,2049-02-08,02/2049,02/08/2049,20490208,679,49-03,49,3,2,11,2049-01-29,2049-02-11,0,0,1,B
2049-02-09,9,th,Tuesday,2,40,0,6,2049-02-08,2049-02-14,2,2,February,2049-02-01,2049-02-28,1,2049,2049,2048,0,0,2049-02-09,02/2049,02/09/2049,20490209,679,49-03,49,3,2,12,2049-01-29,2049-02-11,0,0,1,A
2049-02-10,10,th,Wednesday,3,41,0,6,2049-02-08,2049-02-14,2,2,February,2049-02-01,2049-02-28,1,2049,2049,2048,0,0,2049-02-10,02/2049,02/10/2049,20490210,679,49-03,49,3,2,13,2049-01-29,2049-02-11,0,0,1,B
2049-02-11,11,th,Thursday,4,42,0,6,2049-02-08,2049-02-14,2,2,February,2049-02-01,2049-02-28,1,2049,2049,2048,0,0,2049-02-11,02/2049,02/11/2049,20490211,679,49-03,49,3,2,14,2049-01-29,2049-02-11,0,0,1,A
2049-02-12,12,th,Friday,5,43,0,6,2049-02-08,2049-02-14,2,2,February,2049-02-01,2049-02-28,1,2049,2049,2048,0,0,2049-02-12,02/2049,02/12/2049,20490212,680,49-04,49,4,1,1,2049-02-12,2049-02-25,0,0,1,B
2049-02-13,13,th,Saturday,6,44,1,6,2049-02-08,2049-02-14,2,2,February,2049-02-01,2049-02-28,1,2049,2049,2048,0,0,2049-02-13,02/2049,02/13/2049,20490213,680,49-04,49,4,1,2,2049-02-12,2049-02-25,0,0,0,
2049-02-14,14,th,Sunday,7,45,1,6,2049-02-08,2049-02-14,2,2,February,2049-02-01,2049-02-28,1,2049,2049,2048,0,0,2049-02-14,02/2049,02/14/2049,20490214,680,49-04,49,4,1,3,2049-02-12,2049-02-25,0,0,0,
2049-02-15,15,th,Monday,1,46,0,7,2049-02-15,2049-02-21,3,2,February,2049-02-01,2049-02-28,1,2049,2049,2048,0,0,2049-02-15,02/2049,02/15/2049,20490215,680,49-04,49,4,1,4,2049-02-12,2049-02-25,0,0,1,A
2049-02-16,16,th,Tuesday,2,47,0,7,2049-02-15,2049-02-21,3,2,February,2049-02-01,2049-02-28,1,2049,2049,2048,0,0,2049-02-16,02/2049,02/16/2049,20490216,680,49-04,49,4,1,5,2049-02-12,2049-02-25,0,0,1,B
2049-02-17,17,th,Wednesday,3,48,0,7,2049-02-15,2049-02-21,3,2,February,2049-02-01,2049-02-28,1,2049,2049,2048,0,0,2049-02-17,02/2049,02/17/2049,20490217,680,49-04,49,4,1,6,2049-02-12,2049-02-25,0,0,1,A
2049-02-18,18,th,Thursday,4,49,0,7,2049-02-15,2049-02-21,3,2,February,2049-02-01,2049-02-28,1,2049,2049,2048,0,0,2049-02-18,02/2049,02/18/2049,20490218,680,49-04,49,4,1,7,2049-02-12,2049-02-25,0,0,1,B
2049-02-19,19,th,Friday,5,50,0,7,2049-02-15,2049-02-21,3,2,February,2049-02-01,2049-02-28,1,2049,2049,2048,0,0,2049-02-19,02/2049,02/19/2049,20490219,680,49-04,49,4,2,8,2049-02-12,2049-02-25,0,0,1,A
2049-02-20,20,th,Saturday,6,51,1,7,2049-02-15,2049-02-21,3,2,February,2049-02-01,2049-02-28,1,2049,2049,2048,0,0,2049-02-20,02/2049,02/20/2049,20490220,680,49-04,49,4,2,9,2049-02-12,2049-02-25,0,0,0,
2049-02-21,21,st,Sunday,7,52,1,7,2049-02-15,2049-02-21,3,2,February,2049-02-01,2049-02-28,1,2049,2049,2048,0,0,2049-02-21,02/2049,02/21/2049,20490221,680,49-04,49,4,2,10,2049-02-12,2049-02-25,0,0,0,
2049-02-22,22,nd,Monday,1,53,0,8,2049-02-22,2049-02-28,4,2,February,2049-02-01,2049-02-28,1,2049,2049,2048,0,0,2049-02-22,02/2049,02/22/2049,20490222,680,49-04,49,4,2,11,2049-02-12,2049-02-25,0,0,1,B
2049-02-23,23,rd,Tuesday,2,54,0,8,2049-02-22,2049-02-28,4,2,February,2049-02-01,2049-02-28,1,2049,2049,2048,0,0,2049-02-23,02/2049,02/23/2049,20490223,680,49-04,49,4,2,12,2049-02-12,2049-02-25,0,0,1,A
2049-02-24,24,th,Wednesday,3,55,0,8,2049-02-22,2049-02-28,4,2,February,2049-02-01,2049-02-28,1,2049,2049,2048,0,0,2049-02-24,02/2049,02/24/2049,20490224,680,49-04,49,4,2,13,2049-02-12,2049-02-25,0,0,1,B
2049-02-25,25,th,Thursday,4,56,0,8,2049-02-22,2049-02-28,4,2,February,2049-02-01,2049-02-28,1,2049,2049,2048,0,0,2049-02-25,02/2049,02/25/2049,20490225,680,49-04,49,4,2,14,2049-02-12,2049-02-25,0,0,1,A
2049-02-26,26,th,Friday,5,57,0,8,2049-02-22,2049-02-28,4,2,February,2049-02-01,2049-02-28,1,2049,2049,2048,0,0,2049-02-26,02/2049,02/26/2049,20490226,681,49-05,49,5,1,1,2049-02-26,2049-03-11,0,0,1,B
2049-02-27,27,th,Saturday,6,58,1,8,2049-02-22,2049-02-28,4,2,February,2049-02-01,2049-02-28,1,2049,2049,2048,0,0,2049-02-27,02/2049,02/27/2049,20490227,681,49-05,49,5,1,2,2049-02-26,2049-03-11,0,0,0,
2049-02-28,28,th,Sunday,7,59,1,8,2049-02-22,2049-02-28,4,2,February,2049-02-01,2049-02-28,1,2049,2049,2048,0,0,2049-02-28,02/2049,02/28/2049,20490228,681,49-05,49,5,1,3,2049-02-26,2049-03-11,0,0,0,
