date,day,suffix,dow_name,dow_num,doy,weekend,woy,fow,low,wom,month,moy_name,fom,lom,gov_quarter,year,cy,fy,leap_year,53_weeks,disp_date,disp_mm_yyyy,disp_mm_dd_yyyy,disp_date_suffix,ppid,pp,ppy,ppn,ppw,ppd,pp_start,pp_end,pay_day,school_open,school_day,school_ab_day
2055-05-01,1,st,Saturday,6,121,1,17,2055-04-26,2055-05-02,1,5,May,2055-05-01,2055-05-31,2,2055,2055,2054,0,0,2055-05-01,05/2055,05/01/2055,20550501,841,55-09,55,9,2,9,2055-04-23,2055-05-06,0,0,0,
2055-05-02,2,nd,Sunday,7,122,1,17,2055-04-26,2055-05-02,1,5,May,2055-05-01,2055-05-31,2,2055,2055,2054,0,0,2055-05-02,05/2055,05/02/2055,20550502,841,55-09,55,9,2,10,2055-04-23,2055-05-06,0,0,0,
2055-05-03,3,rd,Monday,1,123,0,18,2055-05-03,2055-05-09,1,5,May,2055-05-01,2055-05-31,2,2055,2055,2054,0,0,2055-05-03,05/2055,05/03/2055,20550503,841,55-09,55,9,2,11,2055-04-23,2055-05-06,0,0,1,A
2055-05-04,4,th,Tuesday,2,124,0,18,2055-05-03,2055-05-09,1,5,May,2055-05-01,2055-05-31,2,2055,2055,2054,0,0,2055-05-04,05/2055,05/04/2055,20550504,841,55-09,55,9,2,12,2055-04-23,2055-05-06,0,0,1,B
2055-05-05,5,th,Wednesday,3,125,0,18,2055-05-03,2055-05-09,1,5,May,2055-05-01,2055-05-31,2,2055,2055,2054,0,0,2055-05-05,05/2055,05/05/2055,20550505,841,55-09,55,9,2,13,2055-04-23,2055-05-06,0,0,1,A
2055-05-06,6,th,Thursday,4,126,0,18,2055-05-03,2055-05-09,1,5,May,2055-05-01,2055-05-31,2,2055,2055,2054,0,0,2055-05-06,05/2055,05/06/2055,20550506,841,55-09,55,9,2,14,2055-04-23,2055-05-06,0,0,1,B
2055-05-07,7,th,Friday,5,127,0,18,2055-05-03,2055-05-09,1,5,May,2055-05-01,2055-05-31,2,2055,2055,2054,0,0,2055-05-07,05/2055,05/07/2055,20550507,842,55-10,55,10,1,1,2055-05-07,2055-05-20,0,0,1,A
2055-05-08,8,th,Saturday,6,128,1,18,2055-05-03,2055-05-09,2,5,May,2055-05-01,2055-05-31,2,2055,2055,2054,0,0,2055-05-08,05/2055,05/08/2055,20550508,842,55-10,55,10,1,2,2055-05-07,2055-05-20,0,0,0,
2055-05-09,9,th,Sunday,7,129,1,18,2055-05-03,2055-05-09,2,5,May,2055-05-01,2055-05-31,2,2055,2055,2054,0,0,2055-05-09,05/2055,05/09/2055,20550509,842,55-10,55,10,1,3,2055-05-07,2055-05-20,0,0,0,
2055-05-10,10,th,Monday,1,130,0,19,2055-05-10,2055-05-16,2,5,May,2055-05-01,2055-05-31,2,2055,2055,2054,0,0,2055-05-10,05/2055,05/10/2055,20550510,842,55-10,55,10,1,4,2055-05-07,2055-05-20,0,0,1,B
2055-05-11,11,th,Tuesday,2,131,0,19,2055-05-10,2055-05-16,2,5,May,2055-05-01,2055-05-31,2,2055,2055,2054,0,0,2055-05-11,05/2055,05/11/2055,20550511,842,55-10,55,10,1,5,2055-05-07,2055-05-20,0,0,1,A
2055-05-12,12,th,Wednesday,3,132,0,19,2055-05-10,2055-05-16,2,5,May,2055-05-01,2055-05-31,2,2055,2055,2054,0,0,2055-05-12,05/2055,05/12/2055,20550512,842,55-10,55,10,1,6,2055-05-07,2055-05-20,0,0,1,B
2055-05-13,13,th,Thursday,4,133,0,19,2055-05-10,2055-05-16,2,5,May,2055-05-01,2055-05-31,2,2055,2055,2054,0,0,2055-05-13,05/2055,05/13/2055,20550513,842,55-10,55,10,1,7,2055-05-07,2055-05-20,0,0,1,A
2055-05-14,14,th,Friday,5,134,0,19,2055-05-10,2055-05-16,2,5,May,2055-05-01,2055-05-31,2,2055,2055,2054,0,0,2055-05-14,05/2055,05/14/2055,20550514,842,55-10,55,10,2,8,2055-05-07,2055-05-20,0,0,1,B
2055-05-15,15,th,Saturday,6,135,1,19,2055-05-10,2055-05-16,3,5,May,2055-05-01,2055-05-31,2,2055,2055,2054,0,0,2055-05-15,05/2055,05/15/2055,20550515,842,55-10,55,10,2,9,2055-05-07,2055-05-20,0,0,0,
2055-05-16,16,th,Sunday,7,136,1,19,2055-05-10,2055-05-16,3,5,May,2055-05-01,2055-05-31,2,2055,2055,2054,0,0,2055-05-16,05/2055,05/16/2055,20550516,842,55-10,55,10,2,10,2055-05-07,2055-05-20,0,0,0,
2055-05-17,17,th,Monday,1,137,0,20,2055-05-17,2055-05-23,3,5,May,2055-05-01,2055-05-31,2,2055,2055,2054,0,0,2055-05-17,05/2055,05/17/2055,20550517,842,55-10,55,10,2,11,2055-05-07,2055-05-20,0,0,1,A
2055-05-18,18,th,Tuesday,2,138,0,20,2055-05-17,2055-05-23,3,5,May,2055-05-01,2055-05-31,2,2055,2055,2054,0,0,2055-05-18,05/2055,05/18/2055,20550518,842,55-10,55,10,2,12,2055-05-07,2055-05-20,0,0,1,B
2055-05-19,19,th,Wednesday,3,139,0,20,2055-05-17,2055-05-23,3,5,May,2055-05-01,2055-05-31,2,2055,2055,2054,0,0,2055-05-19,05/2055,05/19/2055,20550519,842,55-10,55,10,2,13,2055-05-07,2055-05-20,0,0,1,A
2055-05-20,20,th,Thursday,4,140,0,20,2055-05-17,2055-05-23,3,5,May,2055-05-01,2055-05-31,2,2055,2055,2054,0,0,2055-05-20,05/2055,05/20/2055,20550520,842,55-10,55,10,2,14,2055-05-07,2055-05-20,0,0,1,B
2055-05-21,21,st,Friday,5,141,0,20,2055-05-17,2055-05-23,3,5,May,2055-05-01,2055-05-31,2,2055,2055,2054,0,0,2055-05-21,05/2055,05/21/2055,20550521,843,55-11,55,11,1,1,2055-05-21,2055-06-03,0,0,1,A
2055-05-22,22,nd,Saturday,6,142,1,20,2055-05-17,2055-05-23,4,5,May,2055-05-01,2055-05-31,2,2055,2055,2054,0,0,2055-05-22,05/2055,05/22/2055,20550522,843,55-11,55,11,1,2,2055-05-21,2055-06-03,0,0,0,
2055-05-23,23,rd,Sunday,7,143,1,20,2055-05-17,2055-05-23,4,5,May,2055-05-01,2055-05-31,2,2055,2055,2054,0,0,2055-05-23,05/2055,05/23/2055,20550523,843,55-11,55,11,1,3,2055-05-21,2055-06-03,0,0,0,
2055-05-24,24,th,Monday,1,144,0,21,2055-05-24,2055-05-30,4,5,May,2055-05-01,2055-05-31,2,2055,2055,2054,0,0,2055-05-24,05/2055,05/24/2055,20550524,843,55-11,55,11,1,4,2055-05-21,2055-06-03,0,0,1,B
2055-05-25,25,th,Tuesday,2,145,0,21,2055-05-24,2055-05-30,4,5,May,2055-05-01,2055-05-31,2,2055,2055,2054,0,0,2055-05-25,05/2055,05/25/2055,20550525,843,55-11,55,11,1,5,2055-05-21,2055-06-03,0,0,1,A
2055-05-26,26,th,Wednesday,3,146,0,21,2055-05-24,2055-05-30,4,5,May,2055-05-01,2055-05-31,2,2055,2055,2054,0,0,2055-05-26,05/2055,05/26/2055,20550526,843,55-11,55,11,1,6,2055-05-21,2055-06-03,0,0,1,B
2055-05-27,27,th,Thursday,4,147,0,21,2055-05-24,2055-05-30,4,5,May,2055-05-01,2055-05-31,2,2055,2055,2054,0,0,2055-05-27,05/2055,05/27/2055,20550527,843,55-11,55,11,1,7,2055-05-21,2055-06-03,0,0,1,A
2055-05-28,28,th,Friday,5,148,0,21,2055-05-24,2055-05-30,4,5,May,2055-05-01,2055-05-31,2,2055,2055,2054,0,0,2055-05-28,05/2055,05/28/2055,20550528,843,55-11,55,11,2,8,2055-05-21,2055-06-03,0,0,1,B
2055-05-29,29,th,Saturday,6,149,1,21,2055-05-24,2055-05-30,5,5,May,2055-05-01,2055-05-31,2,2055,2055,2054,0,0,2055-05-29,05/2055,05/29/2055,20550529,843,55-11,55,11,2,9,2055-05-21,2055-06-03,0,0,0,
2055-05-30,30,th,Sunday,7,150,1,21,2055-05-24,2055-05-30,5,5,May,2055-05-01,2055-05-31,2,2055,2055,2054,0,0,2055-05-30,05/2055,05/30/2055,20550530,843,55-11,55,11,2,10,2055-05-21,2055-06-03,0,0,0,
2055-05-31,31,st,Monday,1,151,0,22,2055-05-31,2055-06-06,5,5,May,2055-05-01,2055-05-31,2,2055,2055,2054,0,0,2055-05-31,05/2055,05/31/2055,20550531,843,55-11,55,11,2,11,2055-05-21,2055-06-03,0,0,1,A
