date,day,suffix,dow_name,dow_num,doy,weekend,woy,fow,low,wom,month,moy_name,fom,lom,gov_quarter,year,cy,fy,leap_year,53_weeks,disp_date,disp_mm_yyyy,disp_mm_dd_yyyy,disp_date_suffix,ppid,pp,ppy,ppn,ppw,ppd,pp_start,pp_end,pay_day,school_open,school_day,school_ab_day
2064-10-01,1,st,Wednesday,3,275,0,40,2064-09-29,2064-10-05,1,10,October,2064-10-01,2064-10-31,4,2064,2064,2064,1,0,2064-10-01,10/2064,10/01/2064,20641001,1086,64-20,64,20,2,9,2064-09-23,2064-10-06,0,0,1,B
2064-10-02,2,nd,Thursday,4,276,0,40,2064-09-29,2064-10-05,1,10,October,2064-10-01,2064-10-31,4,2064,2064,2064,1,0,2064-10-02,10/2064,10/02/2064,20641002,1086,64-20,64,20,2,10,2064-09-23,2064-10-06,0,0,1,A
2064-10-03,3,rd,Friday,5,277,0,40,2064-09-29,2064-10-05,1,10,October,2064-10-01,2064-10-31,4,2064,2064,2064,1,0,2064-10-03,10/2064,10/03/2064,20641003,1086,64-20,64,20,2,11,2064-09-23,2064-10-06,0,0,1,B
2064-10-04,4,th,Saturday,6,278,1,40,2064-09-29,2064-10-05,1,10,October,2064-10-01,2064-10-31,4,2064,2064,2064,1,0,2064-10-04,10/2064,10/04/2064,20641004,1086,64-20,64,20,2,12,2064-09-23,2064-10-06,0,0,0,
2064-10-05,5,th,Sunday,7,279,1,40,2064-09-29,2064-10-05,1,10,October,2064-10-01,2064-10-31,4,2064,2064,2064,1,0,2064-10-05,10/2064,10/05/2064,20641005,1086,64-20,64,20,2,13,2064-09-23,2064-10-06,0,0,0,
2064-10-06,6,th,Monday,1,280,0,41,2064-10-06,2064-10-12,1,10,October,2064-10-01,2064-10-31,4,2064,2064,2064,1,0,2064-10-06,10/2064,10/06/2064,20641006,1086,64-20,64,20,2,14,2064-09-23,2064-10-06,0,0,1,A
2064-10-07,7,th,Tuesday,2,281,0,41,2064-10-06,2064-10-12,1,10,October,2064-10-01,2064-10-31,4,2064,2064,2064,1,0,2064-10-07,10/2064,10/07/2064,20641007,1087,64-21,64,21,1,1,2064-10-07,2064-10-20,0,0,1,B
2064-10-08,8,th,Wednesday,3,282,0,41,2064-10-06,2064-10-12,2,10,October,2064-10-01,2064-10-31,4,2064,2064,2064,1,0,2064-10-08,10/2064,10/08/2064,20641008,1087,64-21,64,21,1,2,2064-10-07,2064-10-20,0,0,1,A
2064-10-09,9,th,Thursday,4,283,0,41,2064-10-06,2064-10-12,2,10,October,2064-10-01,2064-10-31,4,2064,2064,2064,1,0,2064-10-09,10/2064,10/09/2064,20641009,1087,64-21,64,21,1,3,2064-10-07,2064-10-20,0,0,1,B
2064-10-10,10,th,Friday,5,284,0,41,2064-10-06,2064-10-12,2,10,October,2064-10-01,2064-10-31,4,2064,2064,2064,1,0,2064-10-10,10/2064,10/10/2064,20641010,1087,64-21,64,21,1,4,2064-10-07,2064-10-20,0,0,1,A
2064-10-11,11,th,Saturday,6,285,1,41,2064-10-06,2064-10-12,2,10,October,2064-10-01,2064-10-31,4,2064,2064,2064,1,0,2064-10-11,10/2064,10/11/2064,20641011,1087,64-21,64,21,1,5,2064-10-07,2064-10-20,0,0,0,
2064-10-12,12,th,Sunday,7,286,1,41,2064-10-06,2064-10-12,2,10,October,2064-10-01,2064-10-31,4,2064,2064,2064,1,0,2064-10-12,10/2064,10/12/2064,20641012,1087,64-21,64,21,1,6,2064-10-07,2064-10-20,0,0,0,
2064-10-13,13,th,Monday,1,287,0,42,2064-10-13,2064-10-19,2,10,October,2064-10-01,2064-10-31,4,2064,2064,2064,1,0,2064-10-13,10/2064,10/13/2064,20641013,1087,64-21,64,21,1,7,2064-10-07,2064-10-20,0,0,1,B
2064-10-14,14,th,Tuesday,2,288,0,42,2064-10-13,2064-10-19,2,10,October,2064-10-01,2064-10-31,4,2064,2064,2064,1,0,2064-10-14,10/2064,10/14/2064,20641014,1087,64-21,64,21,2,8,2064-10-07,2064-10-20,0,0,1,A
2064-10-15,15,th,Wednesday,3,289,0,42,2064-10-13,2064-10-19,3,10,October,2064-10-01,2064-10-31,4,2064,2064,2064,1,0,2064-10-15,10/2064,10/15/2064,20641015,1087,64-21,64,21,2,9,2064-10-07,2064-10-20,0,0,1,B
2064-10-16,16,th,Thursday,4,290,0,42,2064-10-13,2064-10-19,3,10,October,2064-10-01,2064-10-31,4,2064,2064,2064,1,0,2064-10-16,10/2064,10/16/2064,20641016,1087,64-21,64,21,2,10,2064-10-07,2064-10-20,0,0,1,A
2064-10-17,17,th,Friday,5,291,0,42,2064-10-13,2064-10-19,3,10,October,2064-10-01,2064-10-31,4,2064,2064,2064,1,0,2064-10-17,10/2064,10/17/2064,20641017,1087,64-21,64,21,2,11,2064-10-07,2064-10-20,0,0,1,B
2064-10-18,18,th,Saturday,6,292,1,42,2064-10-13,2064-10-19,3,10,October,2064-10-01,2064-10-31,4,2064,2064,2064,1,0,2064-10-18,10/2064,10/18/2064,20641018,1087,64-21,64,21,2,12,2064-10-07,2064-10-20,0,0,0,
2064-10-19,19,th,Sunday,7,293,1,42,2064-10-13,2064-10-19,3,10,October,2064-10-01,2064-10-31,4,2064,2064,2064,1,0,2064-10-19,10/2064,10/19/2064,20641019,1087,64-21,64,21,2,13,2064-10-07,2064-10-20,0,0,0,
2064-10-20,20,th,Monday,1,294,0,43,2064-10-20,2064-10-26,3,10,October,2064-10-01,2064-10-31,4,2064,2064,2064,1,0,2064-10-20,10/2064,10/20/2064,20641020,1087,64-21,64,21,2,14,2064-10-07,2064-10-20,0,0,1,A
2064-10-21,21,st,Tuesday,2,295,0,43,2064-10-20,2064-10-26,3,10,October,2064-10-01,2064-10-31,4,2064,2064,2064,1,0,2064-10-21,10/2064,10/21/2064,20641021,1088,64-22,64,22,1,1,2064-10-21,2064-11-03,0,0,1,B
2064-10-22,22,nd,Wednesday,3,296,0,43,2064-10-20,2064-10-26,4,10,October,2064-10-01,2064-10-31,4,2064,2064,2064,1,0,2064-10-22,10/2064,10/22/2064,20641022,1088,64-22,64,22,1,2,2064-10-21,2064-11-03,0,0,1,A
2064-10-23,23,rd,Thursday,4,297,0,43,2064-10-20,2064-10-26,4,10,October,2064-10-01,2064-10-31,4,2064,2064,2064,1,0,2064-10-23,10/2064,10/23/2064,20641023,1088,64-22,64,22,1,3,2064-10-21,2064-11-03,0,0,1,B
2064-10-24,24,th,Friday,5,298,0,43,2064-10-20,2064-10-26,4,10,October,2064-10-01,2064-10-31,4,2064,2064,2064,1,0,2064-10-24,10/2064,10/24/2064,20641024,1088,64-22,64,22,1,4,2064-10-21,2064-11-03,0,0,1,A
2064-10-25,25,th,Saturday,6,299,1,43,2064-10-20,2064-10-26,4,10,October,2064-10-01,2064-10-31,4,2064,2064,2064,1,0,2064-10-25,10/2064,10/25/2064,20641025,1088,64-22,64,22,1,5,2064-10-21,2064-11-03,0,0,0,
2064-10-26,26,th,Sunday,7,300,1,43,2064-10-20,2064-10-26,4,10,October,2064-10-01,2064-10-31,4,2064,2064,2064,1,0,2064-10-26,10/2064,10/26/2064,20641026,1088,64-22,64,22,1,6,2064-10-21,2064-11-03,0,0,0,
2064-10-27,27,th,Monday,1,301,0,44,2064-10-27,2064-11-02,4,10,October,2064-10-01,2064-10-31,4,2064,2064,2064,1,0,2064-10-27,10/2064,10/27/2064,20641027,1088,64-22,64,22,1,7,2064-10-21,2064-11-03,0,0,1,B
2064-10-28,28,th,Tuesday,2,302,0,44,2064-10-27,2064-11-02,4,10,October,2064-10-01,2064-10-31,4,2064,2064,2064,1,0,2064-10-28,10/2064,10/28/2064,20641028,1088,64-22,64,22,2,8,2064-10-21,2064-11-03,0,0,1,A
2064-10-29,29,th,Wednesday,3,303,0,44,2064-10-27,2064-11-02,5,10,October,2064-10-01,2064-10-31,4,2064,2064,2064,1,0,2064-10-29,10/2064,10/29/2064,20641029,1088,64-22,64,22,2,9,2064-10-21,2064-11-03,0,0,1,B
2064-10-30,30,th,Thursday,4,304,0,44,2064-10-27,2064-11-02,5,10,October,2064-10-01,2064-10-31,4,2064,2064,2064,1,0,2064-10-30,10/2064,10/30/2064,20641030,1088,64-22,64,22,2,10,2064-10-21,2064-11-03,0,0,1,A
2064-10-31,31,st,Friday,5,305,0,44,2064-10-27,2064-11-02,5,10,October,2064-10-01,2064-10-31,4,2064,2064,2064,1,0,2064-10-31,10/2064,10/31/2064,20641031,1088,64-22,64,22,2,11,2064-10-21,2064-11-03,0,0,1,B
