date,day,suffix,dow_name,dow_num,doy,weekend,woy,fow,low,wom,month,moy_name,fom,lom,gov_quarter,year,cy,fy,leap_year,53_weeks,disp_date,disp_mm_yyyy,disp_mm_dd_yyyy,disp_date_suffix,ppid,pp,ppy,ppn,ppw,ppd,pp_start,pp_end,pay_day,school_open,school_day,school_ab_day
2040-07-01,1,st,Sunday,7,183,1,26,2040-06-25,2040-07-01,1,7,July,2040-07-01,2040-07-31,3,2040,2040,2039,1,0,2040-07-01,07/2040,07/01/2040,20400701,456,40-14,40,14,1,1,2040-07-01,2040-07-14,0,0,0,
2040-07-02,2,nd,Monday,1,184,0,27,2040-07-02,2040-07-08,1,7,July,2040-07-01,2040-07-31,3,2040,2040,2039,1,0,2040-07-02,07/2040,07/02/2040,20400702,456,40-14,40,14,1,2,2040-07-01,2040-07-14,0,0,1,A
2040-07-03,3,rd,Tuesday,2,185,0,27,2040-07-02,2040-07-08,1,7,July,2040-07-01,2040-07-31,3,2040,2040,2039,1,0,2040-07-03,07/2040,07/03/2040,20400703,456,40-14,40,14,1,3,2040-07-01,2040-07-14,0,0,1,B
2040-07-04,4,th,Wednesday,3,186,0,27,2040-07-02,2040-07-08,1,7,July,2040-07-01,2040-07-31,3,2040,2040,2039,1,0,2040-07-04,07/2040,07/04/2040,20400704,456,40-14,40,14,1,4,2040-07-01,2040-07-14,0,0,1,A
2040-07-05,5,th,Thursday,4,187,0,27,2040-07-02,2040-07-08,1,7,July,2040-07-01,2040-07-31,3,2040,2040,2039,1,0,2040-07-05,07/2040,07/05/2040,20400705,456,40-14,40,14,1,5,2040-07-01,2040-07-14,0,0,1,B
2040-07-06,6,th,Friday,5,188,0,27,2040-07-02,2040-07-08,1,7,July,2040-07-01,2040-07-31,3,2040,2040,2039,1,0,2040-07-06,07/2040,07/06/2040,20400706,456,40-14,40,14,1,6,2040-07-01,2040-07-14,0,0,1,A
2040-07-07,7,th,Saturday,6,189,1,27,2040-07-02,2040-07-08,1,7,July,2040-07-01,2040-07-31,3,2040,2040,2039,1,0,2040-07-07,07/2040,07/07/2040,20400707,456,40-14,40,14,1,7,2040-07-01,2040-07-14,0,0,0,
2040-07-08,8,th,Sunday,7,190,1,27,2040-07-02,2040-07-08,2,7,July,2040-07-01,2040-07-31,3,2040,2040,2039,1,0,2040-07-08,07/2040,07/08/2040,20400708,456,40-14,40,14,2,8,2040-07-01,2040-07-14,0,0,0,
2040-07-09,9,th,Monday,1,191,0,28,2040-07-09,2040-07-15,2,7,July,2040-07-01,2040-07-31,3,2040,2040,2039,1,0,2040-07-09,07/2040,07/09/2040,20400709,456,40-14,40,14,2,9,2040-07-01,2040-07-14,0,0,1,B
2040-07-10,10,th,Tuesday,2,192,0,28,2040-07-09,2040-07-15,2,7,July,2040-07-01,2040-07-31,3,2040,2040,2039,1,0,2040-07-10,07/2040,07/10/2040,20400710,456,40-14,40,14,2,10,2040-07-01,2040-07-14,0,0,1,A
2040-07-11,11,th,Wednesday,3,193,0,28,2040-07-09,2040-07-15,2,7,July,2040-07-01,2040-07-31,3,2040,2040,2039,1,0,2040-07-11,07/2040,07/11/2040,20400711,456,40-14,40,14,2,11,2040-07-01,2040-07-14,0,0,1,B
