date,day,suffix,dow_name,dow_num,doy,weekend,woy,fow,low,wom,month,moy_name,fom,lom,gov_quarter,year,cy,fy,leap_year,53_weeks,disp_date,disp_mm_yyyy,disp_mm_dd_yyyy,disp_date_suffix,ppid,pp,ppy,ppn,ppw,ppd,pp_start,pp_end,pay_day,school_open,school_day,school_ab_day
2059-12-01,1,st,Monday,1,335,0,49,2059-12-01,2059-12-07,1,12,December,2059-12-01,2059-12-31,4,2059,2059,2059,0,0,2059-12-01,12/2059,12/01/2059,20591201,960,59-24,59,24,2,13,2059-11-19,2059-12-02,0,0,1,B
2059-12-02,2,nd,Tuesday,2,336,0,49,2059-12-01,2059-12-07,1,12,December,2059-12-01,2059-12-31,4,2059,2059,2059,0,0,2059-12-02,12/2059,12/02/2059,20591202,960,59-24,59,24,2,14,2059-11-19,2059-12-02,0,0,1,A
2059-12-03,3,rd,Wednesday,3,337,0,49,2059-12-01,2059-12-07,1,12,December,2059-12-01,2059-12-31,4,2059,2059,2059,0,0,2059-12-03,12/2059,12/03/2059,20591203,961,59-25,59,25,1,1,2059-12-03,2059-12-16,0,0,1,B
2059-12-04,4,th,Thursday,4,338,0,49,2059-12-01,2059-12-07,1,12,December,2059-12-01,2059-12-31,4,2059,2059,2059,0,0,2059-12-04,12/2059,12/04/2059,20591204,961,59-25,59,25,1,2,2059-12-03,2059-12-16,0,0,1,A
2059-12-05,5,th,Friday,5,339,0,49,2059-12-01,2059-12-07,1,12,December,2059-12-01,2059-12-31,4,2059,2059,2059,0,0,2059-12-05,12/2059,12/05/2059,20591205,961,59-25,59,25,1,3,2059-12-03,2059-12-16,0,0,1,B
2059-12-06,6,th,Saturday,6,340,1,49,2059-12-01,2059-12-07,1,12,December,2059-12-01,2059-12-31,4,2059,2059,2059,0,0,2059-12-06,12/2059,12/06/2059,20591206,961,59-25,59,25,1,4,2059-12-03,2059-12-16,0,0,0,
2059-12-07,7,th,Sunday,7,341,1,49,2059-12-01,2059-12-07,1,12,December,2059-12-01,2059-12-31,4,2059,2059,2059,0,0,2059-12-07,12/2059,12/07/2059,20591207,961,59-25,59,25,1,5,2059-12-03,2059-12-16,0,0,0,
2059-12-08,8,th,Monday,1,342,0,50,2059-12-08,2059-12-14,2,12,December,2059-12-01,2059-12-31,4,2059,2059,2059,0,0,2059-12-08,12/2059,12/08/2059,20591208,961,59-25,59,25,1,6,2059-12-03,2059-12-16,0,0,1,A
2059-12-09,9,th,Tuesday,2,343,0,50,2059-12-08,2059-12-14,2,12,December,2059-12-01,2059-12-31,4,2059,2059,2059,0,0,2059-12-09,12/2059,12/09/2059,20591209,961,59-25,59,25,1,7,2059-12-03,2059-12-16,0,0,1,B
2059-12-10,10,th,Wednesday,3,344,0,50,2059-12-08,2059-12-14,2,12,December,2059-12-01,2059-12-31,4,2059,2059,2059,0,0,2059-12-10,12/2059,12/10/2059,20591210,961,59-25,59,25,2,8,2059-12-03,2059-12-16,0,0,1,A
2059-12-11,11,th,Thursday,4,345,0,50,2059-12-08,2059-12-14,2,12,December,2059-12-01,2059-12-31,4,2059,2059,2059,0,0,2059-12-11,12/2059,12/11/2059,20591211,961,59-25,59,25,2,9,2059-12-03,2059-12-16,0,0,1,B
2059-12-12,12,th,Friday,5,346,0,50,2059-12-08,2059-12-14,2,12,December,2059-12-01,2059-12-31,4,2059,2059,2059,0,0,2059-12-12,12/2059,12/12/2059,20591212,961,59-25,59,25,2,10,2059-12-03,2059-12-16,0,0,1,A
2059-12-13,13,th,Saturday,6,347,1,50,2059-12-08,2059-12-14,2,12,December,2059-12-01,2059-12-31,4,2059,2059,2059,0,0,2059-12-13,12/2059,12/13/2059,20591213,961,59-25,59,25,2,11,2059-12-03,2059-12-16,0,0,0,
