date,day,suffix,dow_name,dow_num,doy,weekend,woy,fow,low,wom,month,moy_name,fom,lom,gov_quarter,year,cy,fy,leap_year,53_weeks,disp_date,disp_mm_yyyy,disp_mm_dd_yyyy,disp_date_suffix,ppid,pp,ppy,ppn,ppw,ppd,pp_start,pp_end,pay_day,school_open,school_day,school_ab_day
2037-06-01,1,st,Monday,1,152,0,23,2037-06-01,2037-06-07,1,6,June,2037-06-01,2037-06-30,2,2037,2037,2036,0,0,2037-06-01,06/2037,06/01/2037,20370601,375,37-11,37,11,2,12,2037-05-21,2037-06-03,0,0,1,B
2037-06-02,2,nd,Tuesday,2,153,0,23,2037-06-01,2037-06-07,1,6,June,2037-06-01,2037-06-30,2,2037,2037,2036,0,0,2037-06-02,06/2037,06/02/2037,20370602,375,37-11,37,11,2,13,2037-05-21,2037-06-03,0,0,1,A
2037-06-03,3,rd,Wednesday,3,154,0,23,2037-06-01,2037-06-07,1,6,June,2037-06-01,2037-06-30,2,2037,2037,2036,0,0,2037-06-03,06/2037,06/03/2037,20370603,375,37-11,37,11,2,14,2037-05-21,2037-06-03,0,0,1,B
2037-06-04,4,th,Thursday,4,155,0,23,2037-06-01,2037-06-07,1,6,June,2037-06-01,2037-06-30,2,2037,2037,2036,0,0,2037-06-04,06/2037,06/04/2037,20370604,376,37-12,37,12,1,1,2037-06-04,2037-06-17,0,0,1,A
2037-06-05,5,th,Friday,5,156,0,23,2037-06-01,2037-06-07,1,6,June,2037-06-01,2037-06-30,2,2037,2037,2036,0,0,2037-06-05,06/2037,06/05/2037,20370605,376,37-12,37,12,1,2,2037-06-04,2037-06-17,0,0,1,B
2037-06-06,6,th,Saturday,6,157,1,23,2037-06-01,2037-06-07,1,6,June,2037-06-01,2037-06-30,2,2037,2037,2036,0,0,2037-06-06,06/2037,06/06/2037,20370606,376,37-12,37,12,1,3,2037-06-04,2037-06-17,0,0,0,
2037-06-07,7,th,Sunday,7,158,1,23,2037-06-01,2037-06-07,1,6,June,2037-06-01,2037-06-30,2,2037,2037,2036,0,0,2037-06-07,06/2037,06/07/2037,20370607,376,37-12,37,12,1,4,2037-06-04,2037-06-17,0,0,0,
2037-06-08,8,th,Monday,1,159,0,24,2037-06-08,2037-06-14,2,6,June,2037-06-01,2037-06-30,2,2037,2037,2036,0,0,2037-06-08,06/2037,06/08/2037,20370608,376,37-12,37,12,1,5,2037-06-04,2037-06-17,0,0,1,A
2037-06-09,9,th,Tuesday,2,160,0,24,2037-06-08,2037-06-14,2,6,June,2037-06-01,2037-06-30,2,2037,2037,2036,0,0,2037-06-09,06/2037,06/09/2037,20370609,376,37-12,37,12,1,6,2037-06-04,2037-06-17,0,0,1,B
2037-06-10,10,th,Wednesday,3,161,0,24,2037-06-08,2037-06-14,2,6,June,2037-06-01,2037-06-30,2,2037,2037,2036,0,0,2037-06-10,06/2037,06/10/2037,20370610,376,37-12,37,12,1,7,2037-06-04,2037-06-17,0,0,1,A
