date,day,suffix,dow_name,dow_num,doy,weekend,woy,fow,low,wom,month,moy_name,fom,lom,gov_quarter,year,cy,fy,leap_year,53_weeks,disp_date,disp_mm_yyyy,disp_mm_dd_yyyy,disp_date_suffix,ppid,pp,ppy,ppn,ppw,ppd,pp_start,pp_end,pay_day,school_open,school_day,school_ab_day
2051-10-01,1,st,Sunday,7,274,1,39,2051-09-25,2051-10-01,1,10,October,2051-10-01,2051-10-31,4,2051,2051,2051,0,0,2051-10-01,10/2051,10/01/2051,20511001,748,51-20,51,20,2,8,2051-09-24,2051-10-07,0,0,0,
2051-10-02,2,nd,Monday,1,275,0,40,2051-10-02,2051-10-08,1,10,October,2051-10-01,2051-10-31,4,2051,2051,2051,0,0,2051-10-02,10/2051,10/02/2051,20511002,748,51-20,51,20,2,9,2051-09-24,2051-10-07,0,0,1,B
2051-10-03,3,rd,Tuesday,2,276,0,40,2051-10-02,2051-10-08,1,10,October,2051-10-01,2051-10-31,4,2051,2051,2051,0,0,2051-10-03,10/2051,10/03/2051,20511003,748,51-20,51,20,2,10,2051-09-24,2051-10-07,0,0,1,A
2051-10-04,4,th,Wednesday,3,277,0,40,2051-10-02,2051-10-08,1,10,October,2051-10-01,2051-10-31,4,2051,2051,2051,0,0,2051-10-04,10/2051,10/04/2051,20511004,748,51-20,51,20,2,11,2051-09-24,2051-10-07,0,0,1,B
2051-10-05,5,th,Thursday,4,278,0,40,2051-10-02,2051-10-08,1,10,October,2051-10-01,2051-10-31,4,2051,2051,2051,0,0,2051-10-05,10/2051,10/05/2051,20511005,748,51-20,51,20,2,12,2051-09-24,2051-10-07,0,0,1,A
2051-10-06,6,th,Friday,5,279,0,40,2051-10-02,2051-10-08,1,10,October,2051-10-01,2051-10-31,4,2051,2051,2051,0,0,2051-10-06,10/2051,10/06/2051,20511006,748,51-20,51,20,2,13,2051-09-24,2051-10-07,0,0,1,B
2051-10-07,7,th,Saturday,6,280,1,40,2051-10-02,2051-10-08,1,10,October,2051-10-01,2051-10-31,4,2051,2051,2051,0,0,2051-10-07,10/2051,10/07/2051,20511007,748,51-20,51,20,2,14,2051-09-24,2051-10-07,0,0,0,
2051-10-08,8,th,Sunday,7,281,1,40,2051-10-02,2051-10-08,2,10,October,2051-10-01,2051-10-31,4,2051,2051,2051,0,0,2051-10-08,10/2051,10/08/2051,20511008,749,51-21,51,21,1,1,2051-10-08,2051-10-21,0,0,0,
2051-10-09,9,th,Monday,1,282,0,41,2051-10-09,2051-10-15,2,10,October,2051-10-01,2051-10-31,4,2051,2051,2051,0,0,2051-10-09,10/2051,10/09/2051,20511009,749,51-21,51,21,1,2,2051-10-08,2051-10-21,0,0,1,A
2051-10-10,10,th,Tuesday,2,283,0,41,2051-10-09,2051-10-15,2,10,October,2051-10-01,2051-10-31,4,2051,2051,2051,0,0,2051-10-10,10/2051,10/10/2051,20511010,749,51-21,51,21,1,3,2051-10-08,2051-10-21,0,0,1,B
2051-10-11,11,th,Wednesday,3,284,0,41,2051-10-09,2051-10-15,2,10,October,2051-10-01,2051-10-31,4,2051,2051,2051,0,0,2051-10-11,10/2051,10/11/2051,20511011,749,51-21,51,21,1,4,2051-10-08,2051-10-21,0,0,1,A
2051-10-12,12,th,Thursday,4,285,0,41,2051-10-09,2051-10-15,2,10,October,2051-10-01,2051-10-31,4,2051,2051,2051,0,0,2051-10-12,10/2051,10/12/2051,20511012,749,51-21,51,21,1,5,2051-10-08,2051-10-21,0,0,1,B
2051-10-13,13,th,Friday,5,286,0,41,2051-10-09,2051-10-15,2,10,October,2051-10-01,2051-10-31,4,2051,2051,2051,0,0,2051-10-13,10/2051,10/13/2051,20511013,749,51-21,51,21,1,6,2051-10-08,2051-10-21,0,0,1,A
2051-10-14,14,th,Saturday,6,287,1,41,2051-10-09,2051-10-15,2,10,October,2051-10-01,2051-10-31,4,2051,2051,2051,0,0,2051-10-14,10/2051,10/14/2051,20511014,749,51-21,51,21,1,7,2051-10-08,2051-10-21,0,0,0,
2051-10-15,15,th,Sunday,7,288,1,41,2051-10-09,2051-10-15,3,10,October,2051-10-01,2051-10-31,4,2051,2051,2051,0,0,2051-10-15,10/2051,10/15/2051,20511015,749,51-21,51,21,2,8,2051-10-08,2051-10-21,0,0,0,
2051-10-16,16,th,Monday,1,289,0,42,2051-10-16,2051-10-22,3,10,October,2051-10-01,2051-10-31,4,2051,2051,2051,0,0,2051-10-16,10/2051,10/16/2051,20511016,749,51-21,51,21,2,9,2051-10-08,2051-10-21,0,0,1,B
2051-10-17,17,th,Tuesday,2,290,0,42,2051-10-16,2051-10-22,3,10,October,2051-10-01,2051-10-31,4,2051,2051,2051,0,0,2051-10-17,10/2051,10/17/2051,20511017,749,51-21,51,21,2,10,2051-10-08,2051-10-21,0,0,1,A
2051-10-18,18,th,Wednesday,3,291,0,42,2051-10-16,2051-10-22,3,10,October,2051-10-01,2051-10-31,4,2051,2051,2051,0,0,2051-10-18,10/2051,10/18/2051,20511018,749,51-21,51,21,2,11,2051-10-08,2051-10-21,0,0,1,B
2051-10-19,19,th,Thursday,4,292,0,42,2051-10-16,2051-10-22,3,10,October,2051-10-01,2051-10-31,4,2051,2051,2051,0,0,2051-10-19,10/2051,10/19/2051,20511019,749,51-21,51,21,2,12,2051-10-08,2051-10-21,0,0,1,A
2051-10-20,20,th,Friday,5,293,0,42,2051-10-16,2051-10-22,3,10,October,2051-10-01,2051-10-31,4,2051,2051,2051,0,0,2051-10-20,10/2051,10/20/2051,20511020,749,51-21,51,21,2,13,2051-10-08,2051-10-21,0,0,1,B
2051-10-21,21,st,Saturday,6,294,1,42,2051-10-16,2051-10-22,3,10,October,2051-10-01,2051-10-31,4,2051,2051,2051,0,0,2051-10-21,10/2051,10/21/2051,20511021,749,51-21,51,21,2,14,2051-10-08,2051-10-21,0,0,0,
2051-10-22,22,nd,Sunday,7,295,1,42,2051-10-16,2051-10-22,4,10,October,2051-10-01,2051-10-31,4,2051,2051,2051,0,0,2051-10-22,10/2051,10/22/2051,20511022,750,51-22,51,22,1,1,2051-10-22,2051-11-04,0,0,0,
2051-10-23,23,rd,Monday,1,296,0,43,2051-10-23,2051-10-29,4,10,October,2051-10-01,2051-10-31,4,2051,2051,2051,0,0,2051-10-23,10/2051,10/23/2051,20511023,750,51-22,51,22,1,2,2051-10-22,2051-11-04,0,0,1,A
2051-10-24,24,th,Tuesday,2,297,0,43,2051-10-23,2051-10-29,4,10,October,2051-10-01,2051-10-31,4,2051,2051,2051,0,0,2051-10-24,10/2051,10/24/2051,20511024,750,51-22,51,22,1,3,2051-10-22,2051-11-04,0,0,1,B
2051-10-25,25,th,Wednesday,3,298,0,43,2051-10-23,2051-10-29,4,10,October,2051-10-01,2051-10-31,4,2051,2051,2051,0,0,2051-10-25,10/2051,10/25/2051,20511025,750,51-22,51,22,1,4,2051-10-22,2051-11-04,0,0,1,A
2051-10-26,26,th,Thursday,4,299,0,43,2051-10-23,2051-10-29,4,10,October,2051-10-01,2051-10-31,4,2051,2051,2051,0,0,2051-10-26,10/2051,10/26/2051,20511026,750,51-22,51,22,1,5,2051-10-22,2051-11-04,0,0,1,B
2051-10-27,27,th,Friday,5,300,0,43,2051-10-23,2051-10-29,4,10,October,2051-10-01,2051-10-31,4,2051,2051,2051,0,0,2051-10-27,10/2051,10/27/2051,20511027,750,51-22,51,22,1,6,2051-10-22,2051-11-04,0,0,1,A
2051-10-28,28,th,Saturday,6,301,1,43,2051-10-23,2051-10-29,4,10,October,2051-10-01,2051-10-31,4,2051,2051,2051,0,0,2051-10-28,10/2051,10/28/2051,20511028,750,51-22,51,22,1,7,2051-10-22,2051-11-04,0,0,0,
2051-10-29,29,th,Sunday,7,302,1,43,2051-10-23,2051-10-29,5,10,October,2051-10-01,2051-10-31,4,2051,2051,2051,0,0,2051-10-29,10/2051,10/29/2051,20511029,750,51-22,51,22,2,8,2051-10-22,2051-11-04,0,0,0,
2051-10-30,30,th,Monday,1,303,0,44,2051-10-30,2051-11-05,5,10,October,2051-10-01,2051-10-31,4,2051,2051,2051,0,0,2051-10-30,10/2051,10/30/2051,20511030,750,51-22,51,22,2,9,2051-10-22,2051-11-04,0,0,1,B
2051-10-31,31,st,Tuesday,2,304,0,44,2051-10-30,2051-11-05,5,10,October,2051-10-01,2051-10-31,4,2051,2051,2051,0,0,2051-10-31,10/2051,10/31/2051,20511031,750,51-22,51,22,2,10,2051-10-22,2051-11-04,0,0,1,A
