date,day,suffix,dow_name,dow_num,doy,weekend,woy,fow,low,wom,month,moy_name,fom,lom,gov_quarter,year,cy,fy,leap_year,53_weeks,disp_date,disp_mm_yyyy,disp_mm_dd_yyyy,disp_date_suffix,ppid,pp,ppy,ppn,ppw,ppd,pp_start,pp_end,pay_day,school_open,school_day,school_ab_day
2044-02-01,1,st,Monday,1,32,0,5,2044-02-01,2044-02-07,1,2,February,2044-02-01,2044-02-29,1,2044,2044,2043,1,0,2044-02-01,02/2044,02/01/2044,20440201,549,44-03,44,3,1,4,2044-01-29,2044-02-11,0,0,1,B
2044-02-02,2,nd,Tuesday,2,33,0,5,2044-02-01,2044-02-07,1,2,February,2044-02-01,2044-02-29,1,2044,2044,2043,1,0,2044-02-02,02/2044,02/02/2044,20440202,549,44-03,44,3,1,5,2044-01-29,2044-02-11,0,0,1,A
2044-02-03,3,rd,Wednesday,3,34,0,5,2044-02-01,2044-02-07,1,2,February,2044-02-01,2044-02-29,1,2044,2044,2043,1,0,2044-02-03,02/2044,02/03/2044,20440203,549,44-03,44,3,1,6,2044-01-29,2044-02-11,0,0,1,B
2044-02-04,4,th,Thursday,4,35,0,5,2044-02-01,2044-02-07,1,2,February,2044-02-01,2044-02-29,1,2044,2044,2043,1,0,2044-02-04,02/2044,02/04/2044,20440204,549,44-03,44,3,1,7,2044-01-29,2044-02-11,0,0,1,A
2044-02-05,5,th,Friday,5,36,0,5,2044-02-01,2044-02-07,1,2,February,2044-02-01,2044-02-29,1,2044,2044,2043,1,0,2044-02-05,02/2044,02/05/2044,20440205,549,44-03,44,3,2,8,2044-01-29,2044-02-11,0,0,1,B
2044-02-06,6,th,Saturday,6,37,1,5,2044-02-01,2044-02-07,1,2,February,2044-02-01,2044-02-29,1,2044,2044,2043,1,0,2044-02-06,02/2044,02/06/2044,20440206,549,44-03,44,3,2,9,2044-01-29,2044-02-11,0,0,0,
2044-02-07,7,th,Sunday,7,38,1,5,2044-02-01,2044-02-07,1,2,February,2044-02-01,2044-02-29,1,2044,2044,2043,1,0,2044-02-07,02/2044,02/07/2044,20440207,549,44-03,44,3,2,10,2044-01-29,2044-02-11,0,0,0,
2044-02-08,8,th,Monday,1,39,0,6,2044-02-08,2044-02-14,2,2,February,2044-02-01,2044-02-29,1,2044,2044,2043,1,0,2044-02-08,02/2044,02/08/2044,20440208,549,44-03,44,3,2,11,2044-01-29,2044-02-11,0,0,1,A
2044-02-09,9,th,Tuesday,2,40,0,6,2044-02-08,2044-02-14,2,2,February,2044-02-01,2044-02-29,1,2044,2044,2043,1,0,2044-02-09,02/2044,02/09/2044,20440209,549,44-03,44,3,2,12,2044-01-29,2044-02-11,0,0,1,B
2044-02-10,10,th,Wednesday,3,41,0,6,2044-02-08,2044-02-14,2,2,February,2044-02-01,2044-02-29,1,2044,2044,2043,1,0,2044-02-10,02/2044,02/10/2044,20440210,549,44-03,44,3,2,13,2044-01-29,2044-02-11,0,0,1,A
2044-02-11,11,th,Thursday,4,42,0,6,2044-02-08,2044-02-14,2,2,February,2044-02-01,2044-02-29,1,2044,2044,2043,1,0,2044-02-11,02/2044,02/11/2044,20440211,549,44-03,44,3,2,14,2044-01-29,2044-02-11,0,0,1,B
2044-02-12,12,th,Friday,5,43,0,6,2044-02-08,2044-02-14,2,2,February,2044-02-01,2044-02-29,1,2044,2044,2043,1,0,2044-02-12,02/2044,02/12/2044,20440212,550,44-04,44,4,1,1,2044-02-12,2044-02-25,0,0,1,A
2044-02-13,13,th,Saturday,6,44,1,6,2044-02-08,2044-02-14,2,2,February,2044-02-01,2044-02-29,1,2044,2044,2043,1,0,2044-02-13,02/2044,02/13/2044,20440213,550,44-04,44,4,1,2,2044-02-12,2044-02-25,0,0,0,
2044-02-14,14,th,Sunday,7,45,1,6,2044-02-08,2044-02-14,2,2,February,2044-02-01,2044-02-29,1,2044,2044,2043,1,0,2044-02-14,02/2044,02/14/2044,20440214,550,44-04,44,4,1,3,2044-02-12,2044-02-25,0,0,0,
2044-02-15,15,th,Monday,1,46,0,7,2044-02-15,2044-02-21,3,2,February,2044-02-01,2044-02-29,1,2044,2044,2043,1,0,2044-02-15,02/2044,02/15/2044,20440215,550,44-04,44,4,1,4,2044-02-12,2044-02-25,0,0,1,B
2044-02-16,16,th,Tuesday,2,47,0,7,2044-02-15,2044-02-21,3,2,February,2044-02-01,2044-02-29,1,2044,2044,2043,1,0,2044-02-16,02/2044,02/16/2044,20440216,550,44-04,44,4,1,5,2044-02-12,2044-02-25,0,0,1,A
2044-02-17,17,th,Wednesday,3,48,0,7,2044-02-15,2044-02-21,3,2,February,2044-02-01,2044-02-29,1,2044,2044,2043,1,0,2044-02-17,02/2044,02/17/2044,20440217,550,44-04,44,4,1,6,2044-02-12,2044-02-25,0,0,1,B
2044-02-18,18,th,Thursday,4,49,0,7,2044-02-15,2044-02-21,3,2,February,2044-02-01,2044-02-29,1,2044,2044,2043,1,0,2044-02-18,02/2044,02/18/2044,20440218,550,44-04,44,4,1,7,2044-02-12,2044-02-25,0,0,1,A
2044-02-19,19,th,Friday,5,50,0,7,2044-02-15,2044-02-21,3,2,February,2044-02-01,2044-02-29,1,2044,2044,2043,1,0,2044-02-19,02/2044,02/19/2044,20440219,550,44-04,44,4,2,8,2044-02-12,2044-02-25,0,0,1,B
2044-02-20,20,th,Saturday,6,51,1,7,2044-02-15,2044-02-21,3,2,February,2044-02-01,2044-02-29,1,2044,2044,2043,1,0,2044-02-20,02/2044,02/20/2044,20440220,550,44-04,44,4,2,9,2044-02-12,2044-02-25,0,0,0,
2044-02-21,21,st,Sunday,7,52,1,7,2044-02-15,2044-02-21,3,2,February,2044-02-01,2044-02-29,1,2044,2044,2043,1,0,2044-02-21,02/2044,02/21/2044,20440221,550,44-04,44,4,2,10,2044-02-12,2044-02-25,0,0,0,
2044-02-22,22,nd,Monday,1,53,0,8,2044-02-22,2044-02-28,4,2,February,2044-02-01,2044-02-29,1,2044,2044,2043,1,0,2044-02-22,02/2044,02/22/2044,20440222,550,44-04,44,4,2,11,2044-02-12,2044-02-25,0,0,1,A
2044-02-23,23,rd,Tuesday,2,54,0,8,2044-02-22,2044-02-28,4,2,February,2044-02-01,2044-02-29,1,2044,2044,2043,1,0,2044-02-23,02/2044,02/23/2044,20440223,550,44-04,44,4,2,12,2044-02-12,2044-02-25,0,0,1,B
2044-02-24,24,th,Wednesday,3,55,0,8,2044-02-22,2044-02-28,4,2,February,2044-02-01,2044-02-29,1,2044,2044,2043,1,0,2044-02-24,02/2044,02/24/2044,20440224,550,44-04,44,4,2,13,2044-02-12,2044-02-25,0,0,1,A
2044-02-25,25,th,Thursday,4,56,0,8,2044-02-22,2044-02-28,4,2,February,2044-02-01,2044-02-29,1,2044,2044,2043,1,0,2044-02-25,02/2044,02/25/2044,20440225,550,44-04,44,4,2,14,2044-02-12,2044-02-25,0,0,1,B
2044-02-26,26,th,Friday,5,57,0,8,2044-02-22,2044-02-28,4,2,February,2044-02-01,2044-02-29,1,2044,2044,2043,1,0,2044-02-26,02/2044,02/26/2044,20440226,551,44-05,44,5,1,1,2044-02-26,2044-03-10,0,0,1,A
2044-02-27,27,th,Saturday,6,58,1,8,2044-02-22,2044-02-28,4,2,February,2044-02-01,2044-02-29,1,2044,2044,2043,1,0,2044-02-27,02/2044,02/27/2044,20440227,551,44-05,44,5,1,2,2044-02-26,2044-03-10,0,0,0,
2044-02-28,28,th,Sunday,7,59,1,8,2044-02-22,2044-02-28,4,2,February,2044-02-01,2044-02-29,1,2044,2044,2043,1,0,2044-02-28,02/2044,02/28/2044,20440228,551,44-05,44,5,1,3,2044-02-26,2044-03-10,0,0,0,
2044-02-29,29,th,Monday,1,60,0,9,2044-02-29,2044-03-06,5,2,February,2044-02-01,2044-02-29,1,2044,2044,2043,1,0,2044-02-29,02/2044,02/29/2044,20440229,551,44-05,44,5,1,4,2044-02-26,2044-03-10,0,0,1,B
