date,day,suffix,dow_name,dow_num,doy,weekend,woy,fow,low,wom,month,moy_name,fom,lom,gov_quarter,year,cy,fy,leap_year,53_weeks,disp_date,disp_mm_yyyy,disp_mm_dd_yyyy,disp_date_suffix,ppid,pp,ppy,ppn,ppw,ppd,pp_start,pp_end,pay_day,school_open,school_day,school_ab_day
2041-06-01,1,st,Saturday,6,152,1,22,2041-05-27,2041-06-02,1,6,June,2041-06-01,2041-06-30,2,2041,2041,2040,0,0,2041-06-01,06/2041,06/01/2041,20410601,479,41-11,41,11,2,12,2041-05-21,2041-06-03,0,0,0,
2041-06-02,2,nd,Sunday,7,153,1,22,2041-05-27,2041-06-02,1,6,June,2041-06-01,2041-06-30,2,2041,2041,2040,0,0,2041-06-02,06/2041,06/02/2041,20410602,479,41-11,41,11,2,13,2041-05-21,2041-06-03,0,0,0,
2041-06-03,3,rd,Monday,1,154,0,23,2041-06-03,2041-06-09,1,6,June,2041-06-01,2041-06-30,2,2041,2041,2040,0,0,2041-06-03,06/2041,06/03/2041,20410603,479,41-11,41,11,2,14,2041-05-21,2041-06-03,0,0,1,A
2041-06-04,4,th,Tuesday,2,155,0,23,2041-06-03,2041-06-09,1,6,June,2041-06-01,2041-06-30,2,2041,2041,2040,0,0,2041-06-04,06/2041,06/04/2041,20410604,480,41-12,41,12,1,1,2041-06-04,2041-06-17,0,0,1,B
2041-06-05,5,th,Wednesday,3,156,0,23,2041-06-03,2041-06-09,1,6,June,2041-06-01,2041-06-30,2,2041,2041,2040,0,0,2041-06-05,06/2041,06/05/2041,20410605,480,41-12,41,12,1,2,2041-06-04,2041-06-17,0,0,1,A
2041-06-06,6,th,Thursday,4,157,0,23,2041-06-03,2041-06-09,1,6,June,2041-06-01,2041-06-30,2,2041,2041,2040,0,0,2041-06-06,06/2041,06/06/2041,20410606,480,41-12,41,12,1,3,2041-06-04,2041-06-17,0,0,1,B
2041-06-07,7,th,Friday,5,158,0,23,2041-06-03,2041-06-09,1,6,June,2041-06-01,2041-06-30,2,2041,2041,2040,0,0,2041-06-07,06/2041,06/07/2041,20410607,480,41-12,41,12,1,4,2041-06-04,2041-06-17,0,0,1,A
2041-06-08,8,th,Saturday,6,159,1,23,2041-06-03,2041-06-09,2,6,June,2041-06-01,2041-06-30,2,2041,2041,2040,0,0,2041-06-08,06/2041,06/08/2041,20410608,480,41-12,41,12,1,5,2041-06-04,2041-06-17,0,0,0,
2041-06-09,9,th,Sunday,7,160,1,23,2041-06-03,2041-06-09,2,6,June,2041-06-01,2041-06-30,2,2041,2041,2040,0,0,2041-06-09,06/2041,06/09/2041,20410609,480,41-12,41,12,1,6,2041-06-04,2041-06-17,0,0,0,
2041-06-10,10,th,Monday,1,161,0,24,2041-06-10,2041-06-16,2,6,June,2041-06-01,2041-06-30,2,2041,2041,2040,0,0,2041-06-10,06/2041,06/10/2041,20410610,480,41-12,41,12,1,7,2041-06-04,2041-06-17,0,0,1,B
2041-06-11,11,th,Tuesday,2,162,0,24,2041-06-10,2041-06-16,2,6,June,2041-06-01,2041-06-30,2,2041,2041,2040,0,0,2041-06-11,06/2041,06/11/2041,20410611,480,41-12,41,12,2,8,2041-06-04,2041-06-17,0,0,1,A
2041-06-12,12,th,Wednesday,3,163,0,24,2041-06-10,2041-06-16,2,6,June,2041-06-01,2041-06-30,2,2041,2041,2040,0,0,2041-06-12,06/2041,06/12/2041,20410612,480,41-12,41,12,2,9,2041-06-04,2041-06-17,0,0,1,B
2041-06-13,13,th,Thursday,4,164,0,24,2041-06-10,2041-06-16,2,6,June,2041-06-01,2041-06-30,2,2041,2041,2040,0,0,2041-06-13,06/2041,06/13/2041,20410613,480,41-12,41,12,2,10,2041-06-04,2041-06-17,0,0,1,A
2041-06-14,14,th,Friday,5,165,0,24,2041-06-10,2041-06-16,2,6,June,2041-06-01,2041-06-30,2,2041,2041,2040,0,0,2041-06-14,06/2041,06/14/2041,20410614,480,41-12,41,12,2,11,2041-06-04,2041-06-17,0,0,1,B
2041-06-15,15,th,Saturday,6,166,1,24,2041-06-10,2041-06-16,3,6,June,2041-06-01,2041-06-30,2,2041,2041,2040,0,0,2041-06-15,06/2041,06/15/2041,20410615,480,41-12,41,12,2,12,2041-06-04,2041-06-17,0,0,0,
2041-06-16,16,th,Sunday,7,167,1,24,2041-06-10,2041-06-16,3,6,June,2041-06-01,2041-06-30,2,2041,2041,2040,0,0,2041-06-16,06/2041,06/16/2041,20410616,480,41-12,41,12,2,13,2041-06-04,2041-06-17,0,0,0,
2041-06-17,17,th,Monday,1,168,0,25,2041-06-17,2041-06-23,3,6,June,2041-06-01,2041-06-30,2,2041,2041,2040,0,0,2041-06-17,06/2041,06/17/2041,20410617,480,41-12,41,12,2,14,2041-06-04,2041-06-17,0,0,1,A
2041-06-18,18,th,Tuesday,2,169,0,25,2041-06-17,2041-06-23,3,6,June,2041-06-01,2041-06-30,2,2041,2041,2040,0,0,2041-06-18,06/2041,06/18/2041,20410618,481,41-13,41,13,1,1,2041-06-18,2041-07-01,0,0,1,B
2041-06-19,19,th,Wednesday,3,170,0,25,2041-06-17,2041-06-23,3,6,June,2041-06-01,2041-06-30,2,2041,2041,2040,0,0,2041-06-19,06/2041,06/19/2041,20410619,481,41-13,41,13,1,2,2041-06-18,2041-07-01,0,0,1,A
2041-06-20,20,th,Thursday,4,171,0,25,2041-06-17,2041-06-23,3,6,June,2041-06-01,2041-06-30,2,2041,2041,2040,0,0,2041-06-20,06/2041,06/20/2041,20410620,481,41-13,41,13,1,3,2041-06-18,2041-07-01,0,0,1,B
2041-06-21,21,st,Friday,5,172,0,25,2041-06-17,2041-06-23,3,6,June,2041-06-01,2041-06-30,2,2041,2041,2040,0,0,2041-06-21,06/2041,06/21/2041,20410621,481,41-13,41,13,1,4,2041-06-18,2041-07-01,0,0,1,A
2041-06-22,22,nd,Saturday,6,173,1,25,2041-06-17,2041-06-23,4,6,June,2041-06-01,2041-06-30,2,2041,2041,2040,0,0,2041-06-22,06/2041,06/22/2041,20410622,481,41-13,41,13,1,5,2041-06-18,2041-07-01,0,0,0,
2041-06-23,23,rd,Sunday,7,174,1,25,2041-06-17,2041-06-23,4,6,June,2041-06-01,2041-06-30,2,2041,2041,2040,0,0,2041-06-23,06/2041,06/23/2041,20410623,481,41-13,41,13,1,6,2041-06-18,2041-07-01,0,0,0,
2041-06-24,24,th,Monday,1,175,0,26,2041-06-24,2041-06-30,4,6,June,2041-06-01,2041-06-30,2,2041,2041,2040,0,0,2041-06-24,06/2041,06/24/2041,20410624,481,41-13,41,13,1,7,2041-06-18,2041-07-01,0,0,1,B
2041-06-25,25,th,Tuesday,2,176,0,26,2041-06-24,2041-06-30,4,6,June,2041-06-01,2041-06-30,2,2041,2041,2040,0,0,2041-06-25,06/2041,06/25/2041,20410625,481,41-13,41,13,2,8,2041-06-18,2041-07-01,0,0,1,A
2041-06-26,26,th,Wednesday,3,177,0,26,2041-06-24,2041-06-30,4,6,June,2041-06-01,2041-06-30,2,2041,2041,2040,0,0,2041-06-26,06/2041,06/26/2041,20410626,481,41-13,41,13,2,9,2041-06-18,2041-07-01,0,0,1,B
2041-06-27,27,th,Thursday,4,178,0,26,2041-06-24,2041-06-30,4,6,June,2041-06-01,2041-06-30,2,2041,2041,2040,0,0,2041-06-27,06/2041,06/27/2041,20410627,481,41-13,41,13,2,10,2041-06-18,2041-07-01,0,0,1,A
2041-06-28,28,th,Friday,5,179,0,26,2041-06-24,2041-06-30,4,6,June,2041-06-01,2041-06-30,2,2041,2041,2040,0,0,2041-06-28,06/2041,06/28/2041,20410628,481,41-13,41,13,2,11,2041-06-18,2041-07-01,0,0,1,B
2041-06-29,29,th,Saturday,6,180,1,26,2041-06-24,2041-06-30,5,6,June,2041-06-01,2041-06-30,2,2041,2041,2040,0,0,2041-06-29,06/2041,06/29/2041,20410629,481,41-13,41,13,2,12,2041-06-18,2041-07-01,0,0,0,
2041-06-30,30,th,Sunday,7,181,1,26,2041-06-24,2041-06-30,5,6,June,2041-06-01,2041-06-30,2,2041,2041,2040,0,0,2041-06-30,06/2041,06/30/2041,20410630,481,41-13,41,13,2,13,2041-06-18,2041-07-01,0,0,0,
