date,day,suffix,dow_name,dow_num,doy,weekend,woy,fow,low,wom,month,moy_name,fom,lom,gov_quarter,year,cy,fy,leap_year,53_weeks,disp_date,disp_mm_yyyy,disp_mm_dd_yyyy,disp_date_suffix,ppid,pp,ppy,ppn,ppw,ppd,pp_start,pp_end,pay_day,school_open,school_day,school_ab_day
2046-07-01,1,st,Sunday,7,182,1,26,2046-06-25,2046-07-01,1,7,July,2046-07-01,2046-07-31,3,2046,2046,2045,0,0,2046-07-01,07/2046,07/01/2046,20460701,611,46-13,46,13,2,14,2046-06-18,2046-07-01,0,0,0,
2046-07-02,2,nd,Monday,1,183,0,27,2046-07-02,2046-07-08,1,7,July,2046-07-01,2046-07-31,3,2046,2046,2045,0,0,2046-07-02,07/2046,07/02/2046,20460702,612,46-14,46,14,1,1,2046-07-02,2046-07-15,0,0,1,B
2046-07-03,3,rd,Tuesday,2,184,0,27,2046-07-02,2046-07-08,1,7,July,2046-07-01,2046-07-31,3,2046,2046,2045,0,0,2046-07-03,07/2046,07/03/2046,20460703,612,46-14,46,14,1,2,2046-07-02,2046-07-15,0,0,1,A
2046-07-04,4,th,Wednesday,3,185,0,27,2046-07-02,2046-07-08,1,7,July,2046-07-01,2046-07-31,3,2046,2046,2045,0,0,2046-07-04,07/2046,07/04/2046,20460704,612,46-14,46,14,1,3,2046-07-02,2046-07-15,0,0,1,B
2046-07-05,5,th,Thursday,4,186,0,27,2046-07-02,2046-07-08,1,7,July,2046-07-01,2046-07-31,3,2046,2046,2045,0,0,2046-07-05,07/2046,07/05/2046,20460705,612,46-14,46,14,1,4,2046-07-02,2046-07-15,0,0,1,A
2046-07-06,6,th,Friday,5,187,0,27,2046-07-02,2046-07-08,1,7,July,2046-07-01,2046-07-31,3,2046,2046,2045,0,0,2046-07-06,07/2046,07/06/2046,20460706,612,46-14,46,14,1,5,2046-07-02,2046-07-15,0,0,1,B
2046-07-07,7,th,Saturday,6,188,1,27,2046-07-02,2046-07-08,1,7,July,2046-07-01,2046-07-31,3,2046,2046,2045,0,0,2046-07-07,07/2046,07/07/2046,20460707,612,46-14,46,14,1,6,2046-07-02,2046-07-15,0,0,0,
2046-07-08,8,th,Sunday,7,189,1,27,2046-07-02,2046-07-08,2,7,July,2046-07-01,2046-07-31,3,2046,2046,2045,0,0,2046-07-08,07/2046,07/08/2046,20460708,612,46-14,46,14,1,7,2046-07-02,2046-07-15,0,0,0,
2046-07-09,9,th,Monday,1,190,0,28,2046-07-09,2046-07-15,2,7,July,2046-07-01,2046-07-31,3,2046,2046,2045,0,0,2046-07-09,07/2046,07/09/2046,20460709,612,46-14,46,14,2,8,2046-07-02,2046-07-15,0,0,1,A
2046-07-10,10,th,Tuesday,2,191,0,28,2046-07-09,2046-07-15,2,7,July,2046-07-01,2046-07-31,3,2046,2046,2045,0,0,2046-07-10,07/2046,07/10/2046,20460710,612,46-14,46,14,2,9,2046-07-02,2046-07-15,0,0,1,B
2046-07-11,11,th,Wednesday,3,192,0,28,2046-07-09,2046-07-15,2,7,July,2046-07-01,2046-07-31,3,2046,2046,2045,0,0,2046-07-11,07/2046,07/11/2046,20460711,612,46-14,46,14,2,10,2046-07-02,2046-07-15,0,0,1,A
2046-07-12,12,th,Thursday,4,193,0,28,2046-07-09,2046-07-15,2,7,July,2046-07-01,2046-07-31,3,2046,2046,2045,0,0,2046-07-12,07/2046,07/12/2046,20460712,612,46-14,46,14,2,11,2046-07-02,2046-07-15,0,0,1,B
2046-07-13,13,th,Friday,5,194,0,28,2046-07-09,2046-07-15,2,7,July,2046-07-01,2046-07-31,3,2046,2046,2045,0,0,2046-07-13,07/2046,07/13/2046,20460713,612,46-14,46,14,2,12,2046-07-02,2046-07-15,0,0,1,A
2046-07-14,14,th,Saturday,6,195,1,28,2046-07-09,2046-07-15,2,7,July,2046-07-01,2046-07-31,3,2046,2046,2045,0,0,2046-07-14,07/2046,07/14/2046,20460714,612,46-14,46,14,2,13,2046-07-02,2046-07-15,0,0,0,
2046-07-15,15,th,Sunday,7,196,1,28,2046-07-09,2046-07-15,3,7,July,2046-07-01,2046-07-31,3,2046,2046,2045,0,0,2046-07-15,07/2046,07/15/2046,20460715,612,46-14,46,14,2,14,2046-07-02,2046-07-15,0,0,0,
2046-07-16,16,th,Monday,1,197,0,29,2046-07-16,2046-07-22,3,7,July,2046-07-01,2046-07-31,3,2046,2046,2045,0,0,2046-07-16,07/2046,07/16/2046,20460716,613,46-15,46,15,1,1,2046-07-16,2046-07-29,0,0,1,B
2046-07-17,17,th,Tuesday,2,198,0,29,2046-07-16,2046-07-22,3,7,July,2046-07-01,2046-07-31,3,2046,2046,2045,0,0,2046-07-17,07/2046,07/17/2046,20460717,613,46-15,46,15,1,2,2046-07-16,2046-07-29,0,0,1,A
2046-07-18,18,th,Wednesday,3,199,0,29,2046-07-16,2046-07-22,3,7,July,2046-07-01,2046-07-31,3,2046,2046,2045,0,0,2046-07-18,07/2046,07/18/2046,20460718,613,46-15,46,15,1,3,2046-07-16,2046-07-29,0,0,1,B
