date,day,suffix,dow_name,dow_num,doy,weekend,woy,fow,low,wom,month,moy_name,fom,lom,gov_quarter,year,cy,fy,leap_year,53_weeks,disp_date,disp_mm_yyyy,disp_mm_dd_yyyy,disp_date_suffix,ppid,pp,ppy,ppn,ppw,ppd,pp_start,pp_end,pay_day,school_open,school_day,school_ab_day
2047-12-01,1,st,Sunday,7,335,1,48,2047-11-25,2047-12-01,1,12,December,2047-12-01,2047-12-31,4,2047,2047,2047,0,0,2047-12-01,12/2047,12/01/2047,20471201,648,47-24,47,24,2,13,2047-11-19,2047-12-02,0,0,0,
2047-12-02,2,nd,Monday,1,336,0,49,2047-12-02,2047-12-08,1,12,December,2047-12-01,2047-12-31,4,2047,2047,2047,0,0,2047-12-02,12/2047,12/02/2047,20471202,648,47-24,47,24,2,14,2047-11-19,2047-12-02,0,0,1,B
2047-12-03,3,rd,Tuesday,2,337,0,49,2047-12-02,2047-12-08,1,12,December,2047-12-01,2047-12-31,4,2047,2047,2047,0,0,2047-12-03,12/2047,12/03/2047,20471203,649,47-25,47,25,1,1,2047-12-03,2047-12-16,0,0,1,A
2047-12-04,4,th,Wednesday,3,338,0,49,2047-12-02,2047-12-08,1,12,December,2047-12-01,2047-12-31,4,2047,2047,2047,0,0,2047-12-04,12/2047,12/04/2047,20471204,649,47-25,47,25,1,2,2047-12-03,2047-12-16,0,0,1,B
2047-12-05,5,th,Thursday,4,339,0,49,2047-12-02,2047-12-08,1,12,December,2047-12-01,2047-12-31,4,2047,2047,2047,0,0,2047-12-05,12/2047,12/05/2047,20471205,649,47-25,47,25,1,3,2047-12-03,2047-12-16,0,0,1,A
2047-12-06,6,th,Friday,5,340,0,49,2047-12-02,2047-12-08,1,12,December,2047-12-01,2047-12-31,4,2047,2047,2047,0,0,2047-12-06,12/2047,12/06/2047,20471206,649,47-25,47,25,1,4,2047-12-03,2047-12-16,0,0,1,B
2047-12-07,7,th,Saturday,6,341,1,49,2047-12-02,2047-12-08,1,12,December,2047-12-01,2047-12-31,4,2047,2047,2047,0,0,2047-12-07,12/2047,12/07/2047,20471207,649,47-25,47,25,1,5,2047-12-03,2047-12-16,0,0,0,
2047-12-08,8,th,Sunday,7,342,1,49,2047-12-02,2047-12-08,2,12,December,2047-12-01,2047-12-31,4,2047,2047,2047,0,0,2047-12-08,12/2047,12/08/2047,20471208,649,47-25,47,25,1,6,2047-12-03,2047-12-16,0,0,0,
2047-12-09,9,th,Monday,1,343,0,50,2047-12-09,2047-12-15,2,12,December,2047-12-01,2047-12-31,4,2047,2047,2047,0,0,2047-12-09,12/2047,12/09/2047,20471209,649,47-25,47,25,1,7,2047-12-03,2047-12-16,0,0,1,A
2047-12-10,10,th,Tuesday,2,344,0,50,2047-12-09,2047-12-15,2,12,December,2047-12-01,2047-12-31,4,2047,2047,2047,0,0,2047-12-10,12/2047,12/10/2047,20471210,649,47-25,47,25,2,8,2047-12-03,2047-12-16,0,0,1,B
2047-12-11,11,th,Wednesday,3,345,0,50,2047-12-09,2047-12-15,2,12,December,2047-12-01,2047-12-31,4,2047,2047,2047,0,0,2047-12-11,12/2047,12/11/2047,20471211,649,47-25,47,25,2,9,2047-12-03,2047-12-16,0,0,1,A
2047-12-12,12,th,Thursday,4,346,0,50,2047-12-09,2047-12-15,2,12,December,2047-12-01,2047-12-31,4,2047,2047,2047,0,0,2047-12-12,12/2047,12/12/2047,20471212,649,47-25,47,25,2,10,2047-12-03,2047-12-16,0,0,1,B
2047-12-13,13,th,Friday,5,347,0,50,2047-12-09,2047-12-15,2,12,December,2047-12-01,2047-12-31,4,2047,2047,2047,0,0,2047-12-13,12/2047,12/13/2047,20471213,649,47-25,47,25,2,11,2047-12-03,2047-12-16,0,0,1,A
2047-12-14,14,th,Saturday,6,348,1,50,2047-12-09,2047-12-15,2,12,December,2047-12-01,2047-12-31,4,2047,2047,2047,0,0,2047-12-14,12/2047,12/14/2047,20471214,649,47-25,47,25,2,12,2047-12-03,2047-12-16,0,0,0,
2047-12-15,15,th,Sunday,7,349,1,50,2047-12-09,2047-12-15,3,12,December,2047-12-01,2047-12-31,4,2047,2047,2047,0,0,2047-12-15,12/2047,12/15/2047,20471215,649,47-25,47,25,2,13,2047-12-03,2047-12-16,0,0,0,
2047-12-16,16,th,Monday,1,350,0,51,2047-12-16,2047-12-22,3,12,December,2047-12-01,2047-12-31,4,2047,2047,2047,0,0,2047-12-16,12/2047,12/16/2047,20471216,649,47-25,47,25,2,14,2047-12-03,2047-12-16,0,0,1,B
2047-12-17,17,th,Tuesday,2,351,0,51,2047-12-16,2047-12-22,3,12,December,2047-12-01,2047-12-31,4,2047,2047,2047,0,0,2047-12-17,12/2047,12/17/2047,20471217,650,47-26,47,26,1,1,2047-12-17,2047-12-30,0,0,1,A
2047-12-18,18,th,Wednesday,3,352,0,51,2047-12-16,2047-12-22,3,12,December,2047-12-01,2047-12-31,4,2047,2047,2047,0,0,2047-12-18,12/2047,12/18/2047,20471218,650,47-26,47,26,1,2,2047-12-17,2047-12-30,0,0,1,B
2047-12-19,19,th,Thursday,4,353,0,51,2047-12-16,2047-12-22,3,12,December,2047-12-01,2047-12-31,4,2047,2047,2047,0,0,2047-12-19,12/2047,12/19/2047,20471219,650,47-26,47,26,1,3,2047-12-17,2047-12-30,0,0,1,A
2047-12-20,20,th,Friday,5,354,0,51,2047-12-16,2047-12-22,3,12,December,2047-12-01,2047-12-31,4,2047,2047,2047,0,0,2047-12-20,12/2047,12/20/2047,20471220,650,47-26,47,26,1,4,2047-12-17,2047-12-30,0,0,1,B
