Table_Name	    Section_Description
EP_APPR_C_SEC	Checkpoint Section table
EP_APPR_C_SEC	Checkpoint Section table
EP_APPR_C_SEC	Checkpoint Section table
EP_APPR_C_SEC	
EP_APPR_C_SEC	
EP_APPR_C_SEC	
EP_APPR_C_SEC	
EP_APPR_C_SEC	
EP_APPR_C_SEC	
EP_APPR_C_SUB	Checkpoint Subitem table
EP_APPR_C_SUB	Checkpoint Subitem table
EP_APPR_C_SUB	Checkpoint Subitem table
EP_APPR_C_SUB	Checkpoint Subitem table
EP_APPR_C_SUB	Checkpoint Subitem table
EP_APPR_C_SUB	Checkpoint Subitem table
EP_APPR_C_SUB	Checkpoint Subitem table
EP_APPR_C_SUB	SubItem Attributes Subrecord
EP_APPR_C_SUB	SubItem Attributes Subrecord
EP_APPR_C_SUB	SubItem Attributes Subrecord
EP_APPR_C_SUB	SubItem Attributes Subrecord
EP_APPR_C_SUB	SubItem Attributes Subrecord
EP_APPR_C_SUB	SubItem Attributes Subrecord
EP_APPR_C_SUB	
EP_APPR_C_SUB	
EP_APPR_C_SUB	
EP_APPR_C_SUB	
EP_APPR_C_SUB	
EP_APPR_C_SUB	
EP_APPR_ITEM	Document Item
EP_APPR_ITEM	Document Item
EP_APPR_ITEM	Document Item
EP_APPR_ITEM	Document Item
EP_APPR_ITEM	Document Item
EP_APPR_ITEM	Document Item
EP_APPR_ITEM	Document Item
EP_APPR_ITEM	Item Attributes Subrecord
EP_APPR_ITEM	Item Attributes Subrecord
EP_APPR_ITEM	Item Attributes Subrecord
EP_APPR_ITEM	Item Attributes Subrecord
EP_APPR_ITEM	Item Attributes Subrecord
